sku,product_name,category,unit
SKU0123,Product 0123,Category 26,TK
SKU0124,Product 0124,Category 20,TK
SKU0125,Product 0125,Category 20,TK
SKU0126,Product 0126,Category 20,TK
SKU0127,Product 0127,Category 20,TK
SKU0128,Product 0128,Category 20,TK
SKU0129,Product 0129,Category 20,TK
SKU0130,Product 0130,Category 06,TK
SKU0131,Product 0131,Category 06,TK
SKU0134,Product 0134,Category 30,TK
SKU0139,Product 0139,Category 21,TK
SKU0140,Product 0140,Category 18,TK
SKU0144,Product 0144,Category 13,TK
SKU0145,Product 0145,Category 13,TK
SKU0146,Product 0146,Category 12,TK
SKU0147,Product 0147,Category 12,TK
SKU0148,Product 0148,Category 12,TK
SKU0150,Product 0150,Category 12,TK
SKU0152,Product 0152,Category 13,TK
SKU0153,Product 0153,Category 13,TK
SKU0154,Product 0154,Category 46,TK
SKU0155,Product 0155,Category 46,TK
SKU0156,Product 0156,Category 12,TK
SKU0157,Product 0157,Category 12,TK
SKU0165,Product 0165,Category 06,TK
SKU0166,Product 0166,Category 06,TK
SKU0167,Product 0167,Category 19,TK
SKU0168,Product 0168,Category 19,TK
SKU0169,Product 0169,Category 19,TK
SKU0170,Product 0170,Category 19,TK
SKU0171,Product 0171,Category 01,TK
SKU0172,Product 0172,Category 19,TK
SKU0173,Product 0173,Category 19,TK
SKU0174,Product 0174,Category 19,TK
SKU0179,Product 0179,Category 22,TK
SKU0182,Product 0182,Category 36,TK
SKU0186,Product 0186,Category 22,TK
SKU0188,Product 0188,Category 36,TK
SKU0189,Product 0189,Category 37,TK
SKU0200,Product 0200,Category 37,TK
SKU0209,Product 0209,Category 20,TK
SKU0210,Product 0210,Category 20,TK
SKU0212,Product 0212,Category 12,TK
SKU0220,Product 0220,Category 25,TK
SKU0222,Product 0222,Category 24,TK
SKU0223,Product 0223,Category 26,TK
SKU0224,Product 0224,Category 12,TK
SKU0228,Product 0228,Category 24,TK
SKU0232,Product 0232,Category 24,TK
SKU0234,Product 0234,Category 15,TK
SKU0235,Product 0235,Category 15,TK
SKU0236,Product 0236,Category 15,TK
SKU0238,Product 0238,Category 09,TK
SKU0239,Product 0239,Category 09,TK
SKU0241,Product 0241,Category 09,TK
SKU0247,Product 0247,Category 22,TK
SKU0248,Product 0248,Category 22,TK
SKU0253,Product 0253,Category 14,TK
SKU0254,Product 0254,Category 09,TK
SKU0260,Product 0260,Category 20,TK
SKU0261,Product 0261,Category 34,TK
SKU0262,Product 0262,Category 22,TK
SKU0263,Product 0263,Category 22,TK
SKU0267,Product 0267,Category 12,TK
SKU0268,Product 0268,Category 22,TK
SKU0270,Product 0270,Category 35,TK
SKU0277,Product 0277,Category 26,TK
SKU0278,Product 0278,Category 26,TK
SKU0280,Product 0280,Category 24,TK
SKU0282,Product 0282,Category 20,TK
SKU0283,Product 0283,Category 34,TK
SKU0289,Product 0289,Category 23,TK
SKU0293,Product 0293,Category 23,TK
SKU0295,Product 0295,Category 23,TK
SKU0307,Product 0307,Category 18,TK
SKU0312,Product 0312,Category 12,TK
SKU0313,Product 0313,Category 12,TK
SKU0315,Product 0315,Category 22,TK
SKU0317,Product 0317,Category 10,TK
SKU0318,Product 0318,Category 10,TK
SKU0319,Product 0319,Category 10,TK
SKU0320,Product 0320,Category 10,TK
SKU0321,Product 0321,Category 10,TK
SKU0322,Product 0322,Category 10,TK
SKU0323,Product 0323,Category 10,TK
SKU0325,Product 0325,Category 10,TK
SKU0326,Product 0326,Category 10,TK
SKU0332,Product 0332,Category 20,TK
SKU0333,Product 0333,Category 12,TK
SKU0334,Product 0334,Category 03,TK
SKU0336,Product 0336,Category 09,TK
SKU0339,Product 0339,Category 22,TK
SKU0343,Product 0343,Category 24,TK
SKU0344,Product 0344,Category 24,TK
SKU0352,Product 0352,Category 37,TK
SKU0353,Product 0353,Category 35,TK
SKU0365,Product 0365,Category 35,TK
SKU0371,Product 0371,Category 22,TK
SKU0375,Product 0375,Category 22,TK
SKU0384,Product 0384,Category 35,TK
SKU0398,Product 0398,Category 24,TK
SKU0401,Product 0401,Category 12,TK
SKU0403,Product 0403,Category 22,TK
SKU0405,Product 0405,Category 22,TK
SKU0408,Product 0408,Category 22,TK
SKU0413,Product 0413,Category 22,TK
SKU0414,Product 0414,Category 25,TK
SKU0417,Product 0417,Category 15,TK
SKU0421,Product 0421,Category 22,TK
SKU0422,Product 0422,Category 12,TK
SKU0426,Product 0426,Category 15,TK
SKU0427,Product 0427,Category 15,TK
SKU0428,Product 0428,Category 48,TK
SKU0429,Product 0429,Category 26,TK
SKU0431,Product 0431,Category 47,TK
SKU0435,Product 0435,Category 37,TK
SKU0436,Product 0436,Category 37,TK
SKU0438,Product 0438,Category 37,TK
SKU0441,Product 0441,Category 37,TK
SKU0443,Product 0443,Category 12,TK
SKU0444,Product 0444,Category 24,TK
SKU0449,Product 0449,Category 26,TK
SKU0451,Product 0451,Category 20,TK
SKU0452,Product 0452,Category 12,TK
SKU0453,Product 0453,Category 35,TK
SKU0455,Product 0455,Category 22,TK
SKU0456,Product 0456,Category 25,TK
SKU0460,Product 0460,Category 12,TK
SKU0461,Product 0461,Category 25,TK
SKU0462,Product 0462,Category 25,TK
SKU0463,Product 0463,Category 37,TK
SKU0466,Product 0466,Category 44,TK
SKU0470,Product 0470,Category 24,TK
SKU0471,Product 0471,Category 24,TK
SKU0472,Product 0472,Category 26,TK
SKU0473,Product 0473,Category 26,TK
SKU0474,Product 0474,Category 24,TK
SKU0475,Product 0475,Category 22,TK
SKU0476,Product 0476,Category 22,TK
SKU0477,Product 0477,Category 26,TK
SKU0483,Product 0483,Category 14,TK
SKU0486,Product 0486,Category 12,TK
SKU0487,Product 0487,Category 12,TK
SKU0488,Product 0488,Category 19,TK
SKU0494,Product 0494,Category 12,TK
SKU0496,Product 0496,Category 22,TK
SKU0498,Product 0498,Category 20,TK
SKU0499,Product 0499,Category 22,TK
SKU0504,Product 0504,Category 12,TK
SKU0506,Product 0506,Category 39,TK
SKU0507,Product 0507,Category 39,TK
SKU0509,Product 0509,Category 54,TK
SKU0510,Product 0510,Category 24,TK
SKU0511,Product 0511,Category 14,TK
SKU0512,Product 0512,Category 22,TK
SKU0514,Product 0514,Category 09,TK
SKU0515,Product 0515,Category 01,TK
SKU0516,Product 0516,Category 09,TK
SKU0518,Product 0518,Category 13,TK
SKU0519,Product 0519,Category 13,TK
SKU0520,Product 0520,Category 22,TK
SKU0523,Product 0523,Category 24,TK
SKU0524,Product 0524,Category 09,TK
SKU0525,Product 0525,Category 36,TK
SKU0526,Product 0526,Category 26,TK
SKU0527,Product 0527,Category 12,TK
SKU0528,Product 0528,Category 09,TK
SKU0529,Product 0529,Category 09,TK
SKU0530,Product 0530,Category 09,TK
SKU0531,Product 0531,Category 12,TK
SKU0532,Product 0532,Category 35,TK
SKU0533,Product 0533,Category 12,TK
SKU0534,Product 0534,Category 38,TK
SKU0535,Product 0535,Category 38,TK
SKU0536,Product 0536,Category 22,TK
SKU0537,Product 0537,Category 61,TK
SKU0538,Product 0538,Category 53,TK
SKU0539,Product 0539,Category 53,TK
SKU0540,Product 0540,Category 36,TK
SKU0541,Product 0541,Category 12,TK
SKU0542,Product 0542,Category 12,TK
SKU0543,Product 0543,Category 25,TK
SKU0544,Product 0544,Category 25,TK
SKU0545,Product 0545,Category 25,TK
SKU0546,Product 0546,Category 56,TK
SKU0547,Product 0547,Category 56,TK
SKU0548,Product 0548,Category 14,TK
SKU0549,Product 0549,Category 14,TK
SKU0550,Product 0550,Category 53,TK
SKU0551,Product 0551,Category 56,TK
SKU0552,Product 0552,Category 12,TK
SKU0553,Product 0553,Category 36,TK
SKU0554,Product 0554,Category 12,TK
SKU0555,Product 0555,Category 64,TK
SKU0556,Product 0556,Category 64,TK
SKU0560,Product 0560,Category 64,TK
SKU0564,Product 0564,Category 21,TK
SKU0568,Product 0568,Category 16,TK
SKU0569,Product 0569,Category 20,TK
SKU0571,Product 0571,Category 22,TK
SKU0574,Product 0574,Category 53,TK
SKU0581,Product 0581,Category 09,TK
SKU0582,Product 0582,Category 36,TK
SKU0583,Product 0583,Category 37,TK
SKU0585,Product 0585,Category 25,TK
SKU0587,Product 0587,Category 22,TK
SKU0588,Product 0588,Category 22,TK
SKU0590,Product 0590,Category 53,TK
SKU0596,Product 0596,Category 22,TK
SKU0599,Product 0599,Category 38,TK
SKU0600,Product 0600,Category 09,TK
SKU0611,Product 0611,Category 09,TK
SKU0612,Product 0612,Category 09,TK
SKU0613,Product 0613,Category 09,TK
SKU0616,Product 0616,Category 38,TK
SKU0620,Product 0620,Category 53,TK
SKU0629,Product 0629,Category 13,TK
SKU0630,Product 0630,Category 13,TK
SKU0631,Product 0631,Category 13,TK
SKU0633,Product 0633,Category 20,TK
SKU0634,Product 0634,Category 20,TK
SKU0635,Product 0635,Category 20,TK
SKU0636,Product 0636,Category 20,TK
SKU0637,Product 0637,Category 20,TK
SKU0638,Product 0638,Category 20,TK
SKU0639,Product 0639,Category 20,TK
SKU0640,Product 0640,Category 20,TK
SKU0641,Product 0641,Category 12,TK
SKU0642,Product 0642,Category 22,TK
SKU0643,Product 0643,Category 22,TK
SKU0644,Product 0644,Category 26,TK
SKU0645,Product 0645,Category 20,TK
SKU0646,Product 0646,Category 22,TK
SKU0647,Product 0647,Category 22,TK
SKU0648,Product 0648,Category 12,TK
SKU0649,Product 0649,Category 12,TK
SKU0650,Product 0650,Category 20,TK
SKU0652,Product 0652,Category 20,TK
SKU0653,Product 0653,Category 20,TK
SKU0654,Product 0654,Category 20,TK
SKU0655,Product 0655,Category 20,TK
SKU0656,Product 0656,Category 24,TK
SKU0657,Product 0657,Category 53,TK
SKU0658,Product 0658,Category 22,TK
SKU0659,Product 0659,Category 22,TK
SKU0660,Product 0660,Category 19,TK
SKU0661,Product 0661,Category 12,TK
SKU0662,Product 0662,Category 48,TK
SKU0663,Product 0663,Category 22,TK
SKU0664,Product 0664,Category 27,TK
SKU0665,Product 0665,Category 27,TK
SKU0666,Product 0666,Category 27,TK
SKU0667,Product 0667,Category 27,TK
SKU0668,Product 0668,Category 27,TK
SKU0670,Product 0670,Category 26,TK
SKU0671,Product 0671,Category 22,PK
SKU0674,Product 0674,Category 22,TK
SKU0676,Product 0676,Category 14,TK
SKU0678,Product 0678,Category 20,TK
SKU0679,Product 0679,Category 20,TK
SKU0680,Product 0680,Category 36,TK
SKU0681,Product 0681,Category 22,TK
SKU0682,Product 0682,Category 23,TK
SKU0683,Product 0683,Category 21,TK
SKU0684,Product 0684,Category 21,TK
SKU0688,Product 0688,Category 26,TK
SKU0689,Product 0689,Category 26,TK
SKU0690,Product 0690,Category 26,TK
SKU0691,Product 0691,Category 26,TK
SKU0692,Product 0692,Category 26,TK
SKU0693,Product 0693,Category 20,TK
SKU0694,Product 0694,Category 26,TK
SKU0695,Product 0695,Category 64,TK
SKU0698,Product 0698,Category 20,TK
SKU0700,Product 0700,Category 19,TK
SKU0702,Product 0702,Category 26,TK
SKU0703,Product 0703,Category 26,TK
SKU0707,Product 0707,Category 06,TK
SKU0708,Product 0708,Category 26,TK
SKU0709,Product 0709,Category 26,TK
SKU0710,Product 0710,Category 26,TK
SKU0711,Product 0711,Category 26,TK
SKU0712,Product 0712,Category 26,TK
SKU0713,Product 0713,Category 26,TK
SKU0714,Product 0714,Category 06,TK
SKU0715,Product 0715,Category 20,TK
SKU0716,Product 0716,Category 53,TK
SKU0721,Product 0721,Category 55,TK
SKU0722,Product 0722,Category 55,TK
SKU0723,Product 0723,Category 55,TK
SKU0724,Product 0724,Category 67,TK
SKU0725,Product 0725,Category 67,TK
SKU0726,Product 0726,Category 67,TK
SKU0727,Product 0727,Category 67,TK
SKU0728,Product 0728,Category 67,TK
SKU0729,Product 0729,Category 67,TK
SKU0731,Product 0731,Category 53,TK
SKU0733,Product 0733,Category 54,TK
SKU0734,Product 0734,Category 16,TK
SKU0735,Product 0735,Category 16,TK
SKU0736,Product 0736,Category 16,TK
SKU0738,Product 0738,Category 19,TK
SKU0739,Product 0739,Category 53,TK
SKU0740,Product 0740,Category 53,TK
SKU0741,Product 0741,Category 53,TK
SKU0742,Product 0742,Category 53,TK
SKU0743,Product 0743,Category 53,TK
SKU0744,Product 0744,Category 53,TK
SKU0745,Product 0745,Category 53,TK
SKU0752,Product 0752,Category 22,TK
SKU0754,Product 0754,Category 34,TK
SKU0755,Product 0755,Category 24,TK
SKU0756,Product 0756,Category 24,TK
SKU0758,Product 0758,Category 15,TK
SKU0759,Product 0759,Category 15,TK
SKU0760,Product 0760,Category 15,TK
SKU0761,Product 0761,Category 15,TK
SKU0764,Product 0764,Category 15,TK
SKU0767,Product 0767,Category 12,TK
SKU0771,Product 0771,Category 12,TK
SKU0772,Product 0772,Category 12,TK
SKU0775,Product 0775,Category 12,TK
SKU0782,Product 0782,Category 15,TK
SKU0783,Product 0783,Category 15,TK
SKU0784,Product 0784,Category 15,TK
SKU0786,Product 0786,Category 15,TK
SKU0787,Product 0787,Category 13,TK
SKU0789,Product 0789,Category 06,TK
SKU0790,Product 0790,Category 15,TK
SKU0791,Product 0791,Category 06,TK
SKU0792,Product 0792,Category 06,TK
SKU0793,Product 0793,Category 06,TK
SKU0794,Product 0794,Category 12,TK
SKU0795,Product 0795,Category 12,TK
SKU0797,Product 0797,Category 15,TK
SKU0798,Product 0798,Category 24,TK
SKU0799,Product 0799,Category 24,TK
SKU0800,Product 0800,Category 24,TK
SKU0801,Product 0801,Category 24,TK
SKU0802,Product 0802,Category 24,TK
SKU0803,Product 0803,Category 46,TK
SKU0804,Product 0804,Category 46,TK
SKU0805,Product 0805,Category 46,TK
SKU0806,Product 0806,Category 46,TK
SKU0807,Product 0807,Category 46,TK
SKU0810,Product 0810,Category 13,TK
SKU0811,Product 0811,Category 18,TK
SKU0812,Product 0812,Category 50,TK
SKU0813,Product 0813,Category 06,TK
SKU0814,Product 0814,Category 08,TK
SKU0815,Product 0815,Category 08,TK
SKU0816,Product 0816,Category 54,TK
SKU0817,Product 0817,Category 06,TK
SKU0818,Product 0818,Category 06,TK
SKU0819,Product 0819,Category 06,TK
SKU0820,Product 0820,Category 56,TK
SKU0821,Product 0821,Category 56,TK
SKU0822,Product 0822,Category 42,TK
SKU0823,Product 0823,Category 42,TK
SKU0825,Product 0825,Category 42,TK
SKU0826,Product 0826,Category 42,TK
SKU0827,Product 0827,Category 42,TK
SKU0828,Product 0828,Category 42,TK
SKU0830,Product 0830,Category 46,TK
SKU0831,Product 0831,Category 06,TK
SKU0833,Product 0833,Category 02,TK
SKU0835,Product 0835,Category 06,TK
SKU0836,Product 0836,Category 50,KG
SKU0837,Product 0837,Category 24,TK
SKU0838,Product 0838,Category 13,TK
SKU0839,Product 0839,Category 13,TK
SKU0841,Product 0841,Category 11,TK
SKU0842,Product 0842,Category 06,TK
SKU0843,Product 0843,Category 06,TK
SKU0844,Product 0844,Category 06,TK
SKU0845,Product 0845,Category 06,TK
SKU0846,Product 0846,Category 06,TK
SKU0850,Product 0850,Category 05,TK
SKU0851,Product 0851,Category 05,TK
SKU0852,Product 0852,Category 05,TK
SKU0858,Product 0858,Category 22,PK
SKU0859,Product 0859,Category 01,TK
SKU0860,Product 0860,Category 01,TK
SKU0861,Product 0861,Category 56,TK
SKU0862,Product 0862,Category 42,TK
SKU0863,Product 0863,Category 46,TK
SKU0864,Product 0864,Category 50,KG
SKU0865,Product 0865,Category 37,TK
SKU0866,Product 0866,Category 37,TK
SKU0867,Product 0867,Category 50,TK
SKU0868,Product 0868,Category 15,TK
SKU0869,Product 0869,Category 15,TK
SKU0870,Product 0870,Category 15,TK
SKU0871,Product 0871,Category 15,TK
SKU0872,Product 0872,Category 52,KG
SKU0873,Product 0873,Category 13,TK
SKU0874,Product 0874,Category 46,TK
SKU0875,Product 0875,Category 13,TK
SKU0876,Product 0876,Category 13,TK
SKU0877,Product 0877,Category 44,TK
SKU0878,Product 0878,Category 44,TK
SKU0879,Product 0879,Category 56,TK
SKU0880,Product 0880,Category 56,TK
SKU0882,Product 0882,Category 56,TK
SKU0883,Product 0883,Category 56,TK
SKU0884,Product 0884,Category 22,TK
SKU0885,Product 0885,Category 31,TK
SKU0886,Product 0886,Category 20,TK
SKU0887,Product 0887,Category 22,TK
SKU0888,Product 0888,Category 13,TK
SKU0889,Product 0889,Category 13,TK
SKU0890,Product 0890,Category 13,TK
SKU0891,Product 0891,Category 22,TK
SKU0892,Product 0892,Category 22,TK
SKU0893,Product 0893,Category 37,TK
SKU0894,Product 0894,Category 42,TK
SKU0895,Product 0895,Category 42,TK
SKU0896,Product 0896,Category 42,TK
SKU0897,Product 0897,Category 42,TK
SKU0898,Product 0898,Category 64,TK
SKU0899,Product 0899,Category 37,TK
SKU0900,Product 0900,Category 36,TK
SKU0901,Product 0901,Category 36,TK
SKU0902,Product 0902,Category 64,TK
SKU0904,Product 0904,Category 64,TK
SKU0905,Product 0905,Category 64,TK
SKU0906,Product 0906,Category 56,TK
SKU0907,Product 0907,Category 64,TK
SKU0909,Product 0909,Category 65,TK
SKU0910,Product 0910,Category 65,TK
SKU0911,Product 0911,Category 65,TK
SKU0912,Product 0912,Category 65,TK
SKU0913,Product 0913,Category 15,TK
SKU0914,Product 0914,Category 50,KG
SKU0915,Product 0915,Category 56,KG
SKU0916,Product 0916,Category 56,KG
SKU0917,Product 0917,Category 26,TK
SKU0918,Product 0918,Category 14,TK
SKU0919,Product 0919,Category 26,TK
SKU0924,Product 0924,Category 61,TK
SKU0925,Product 0925,Category 53,TK
SKU0926,Product 0926,Category 59,TK
SKU0928,Product 0928,Category 14,TK
SKU0929,Product 0929,Category 64,TK
SKU0930,Product 0930,Category 64,TK
SKU0931,Product 0931,Category 64,TK
SKU0932,Product 0932,Category 64,TK
SKU0933,Product 0933,Category 64,TK
SKU0934,Product 0934,Category 64,TK
SKU0935,Product 0935,Category 64,TK
SKU0936,Product 0936,Category 64,TK
SKU0937,Product 0937,Category 64,TK
SKU0938,Product 0938,Category 64,TK
SKU0939,Product 0939,Category 64,TK
SKU0940,Product 0940,Category 36,TK
SKU0941,Product 0941,Category 64,TK
SKU0942,Product 0942,Category 24,TK
SKU0943,Product 0943,Category 24,TK
SKU0944,Product 0944,Category 24,TK
SKU0945,Product 0945,Category 24,TK
SKU0946,Product 0946,Category 24,TK
SKU0947,Product 0947,Category 24,TK
SKU0950,Product 0950,Category 36,TK
SKU0951,Product 0951,Category 67,TK
SKU0952,Product 0952,Category 67,TK
SKU0953,Product 0953,Category 67,TK
SKU0954,Product 0954,Category 64,TK
SKU0955,Product 0955,Category 64,TK
SKU0956,Product 0956,Category 64,TK
SKU0959,Product 0959,Category 56,TK
SKU0963,Product 0963,Category 16,TK
SKU0964,Product 0964,Category 16,TK
SKU0980,Product 0980,Category 09,TK
SKU0981,Product 0981,Category 09,TK
SKU0982,Product 0982,Category 14,TK
SKU0983,Product 0983,Category 14,TK
SKU0984,Product 0984,Category 14,TK
SKU0985,Product 0985,Category 14,TK
SKU0986,Product 0986,Category 14,TK
SKU0987,Product 0987,Category 14,TK
SKU0988,Product 0988,Category 14,TK
SKU0989,Product 0989,Category 56,TK
SKU0990,Product 0990,Category 14,TK
SKU0991,Product 0991,Category 14,TK
SKU0992,Product 0992,Category 23,TK
SKU0993,Product 0993,Category 46,TK
SKU0994,Product 0994,Category 46,TK
SKU0995,Product 0995,Category 15,TK
SKU0996,Product 0996,Category 56,KG
SKU0997,Product 0997,Category 54,TK
SKU1000,Product 1000,Category 09,TK
SKU1001,Product 1001,Category 20,TK
SKU1002,Product 1002,Category 20,TK
SKU1003,Product 1003,Category 20,TK
SKU1004,Product 1004,Category 33,TK
SKU1007,Product 1007,Category 33,TK
SKU1009,Product 1009,Category 06,TK
SKU1013,Product 1013,Category 06,TK
SKU1014,Product 1014,Category 06,TK
SKU1022,Product 1022,Category 54,TK
SKU1023,Product 1023,Category 56,KG
SKU1024,Product 1024,Category 15,TK
SKU1025,Product 1025,Category 15,TK
SKU1026,Product 1026,Category 15,TK
SKU1027,Product 1027,Category 15,TK
SKU1028,Product 1028,Category 15,TK
SKU1029,Product 1029,Category 15,TK
SKU1030,Product 1030,Category 15,TK
SKU1031,Product 1031,Category 14,TK
SKU1033,Product 1033,Category 26,TK
SKU1034,Product 1034,Category 40,TK
SKU1036,Product 1036,Category 63,TK
SKU1037,Product 1037,Category 63,TK
SKU1038,Product 1038,Category 63,TK
SKU1039,Product 1039,Category 63,TK
SKU1047,Product 1047,Category 01,TK
SKU1048,Product 1048,Category 26,TK
SKU1049,Product 1049,Category 26,TK
SKU1050,Product 1050,Category 26,TK
SKU1051,Product 1051,Category 26,TK
SKU1062,Product 1062,Category 13,TK
SKU1063,Product 1063,Category 13,TK
SKU1066,Product 1066,Category 20,TK
SKU1067,Product 1067,Category 22,TK
SKU1068,Product 1068,Category 22,TK
SKU1069,Product 1069,Category 12,TK
SKU1070,Product 1070,Category 12,TK
SKU1071,Product 1071,Category 12,TK
SKU1072,Product 1072,Category 21,TK
SKU1073,Product 1073,Category 21,TK
SKU1074,Product 1074,Category 14,TK
SKU1075,Product 1075,Category 56,TK
SKU1076,Product 1076,Category 20,TK
SKU1077,Product 1077,Category 18,TK
SKU1078,Product 1078,Category 26,TK
SKU1079,Product 1079,Category 20,TK
SKU1080,Product 1080,Category 18,TK
SKU1081,Product 1081,Category 20,TK
SKU1082,Product 1082,Category 20,TK
SKU1084,Product 1084,Category 19,TK
SKU1086,Product 1086,Category 53,TK
SKU1088,Product 1088,Category 20,TK
SKU1089,Product 1089,Category 20,TK
SKU1090,Product 1090,Category 30,TK
SKU1091,Product 1091,Category 24,TK
SKU1092,Product 1092,Category 37,TK
SKU1093,Product 1093,Category 37,TK
SKU1095,Product 1095,Category 15,TK
SKU1096,Product 1096,Category 12,TK
SKU1097,Product 1097,Category 20,TK
SKU1098,Product 1098,Category 12,TK
SKU1099,Product 1099,Category 62,TK
SKU1102,Product 1102,Category 20,TK
SKU1106,Product 1106,Category 37,TK
SKU1107,Product 1107,Category 19,TK
SKU1108,Product 1108,Category 64,TK
SKU1116,Product 1116,Category 12,TK
SKU1134,Product 1134,Category 63,TK
SKU1144,Product 1144,Category 51,TK
SKU1145,Product 1145,Category 51,TK
SKU1153,Product 1153,Category 14,TK
SKU1154,Product 1154,Category 49,TK
SKU1155,Product 1155,Category 49,TK
SKU1156,Product 1156,Category 49,TK
SKU1157,Product 1157,Category 49,TK
SKU1158,Product 1158,Category 49,TK
SKU1159,Product 1159,Category 49,TK
SKU1160,Product 1160,Category 49,TK
SKU1161,Product 1161,Category 49,TK
SKU1168,Product 1168,Category 14,TK
SKU1169,Product 1169,Category 14,TK
SKU1170,Product 1170,Category 27,TK
SKU1171,Product 1171,Category 27,TK
SKU1174,Product 1174,Category 02,TK
SKU1177,Product 1177,Category 27,TK
SKU1179,Product 1179,Category 14,TK
SKU1187,Product 1187,Category 29,TK
SKU1191,Product 1191,Category 63,TK
SKU1192,Product 1192,Category 15,TK
SKU1195,Product 1195,Category 56,TK
SKU1196,Product 1196,Category 56,TK
SKU1197,Product 1197,Category 01,TK
SKU1198,Product 1198,Category 12,TK
SKU1200,Product 1200,Category 09,TK
SKU1202,Product 1202,Category 14,TK
SKU1204,Product 1204,Category 53,TK
SKU1205,Product 1205,Category 53,TK
SKU1207,Product 1207,Category 53,TK
SKU1208,Product 1208,Category 53,TK
SKU1210,Product 1210,Category 01,TK
SKU1211,Product 1211,Category 36,TK
SKU1212,Product 1212,Category 36,TK
SKU1215,Product 1215,Category 01,TK
SKU1216,Product 1216,Category 22,TK
SKU1217,Product 1217,Category 40,TK
SKU1218,Product 1218,Category 39,TK
SKU1223,Product 1223,Category 25,TK
SKU1224,Product 1224,Category 25,TK
SKU1228,Product 1228,Category 23,TK
SKU1229,Product 1229,Category 12,TK
SKU1230,Product 1230,Category 12,TK
SKU1231,Product 1231,Category 19,TK
SKU1232,Product 1232,Category 18,TK
SKU1233,Product 1233,Category 21,TK
SKU1234,Product 1234,Category 18,TK
SKU1235,Product 1235,Category 20,TK
SKU1236,Product 1236,Category 20,TK
SKU1237,Product 1237,Category 20,TK
SKU1238,Product 1238,Category 20,TK
SKU1239,Product 1239,Category 20,TK
SKU1240,Product 1240,Category 20,TK
SKU1241,Product 1241,Category 12,TK
SKU1242,Product 1242,Category 12,TK
SKU1243,Product 1243,Category 12,TK
SKU1244,Product 1244,Category 04,TK
SKU1245,Product 1245,Category 04,TK
SKU1246,Product 1246,Category 04,TK
SKU1247,Product 1247,Category 04,TK
SKU1249,Product 1249,Category 36,TK
SKU1250,Product 1250,Category 63,TK
SKU1252,Product 1252,Category 39,TK
