row_id,transaction_id,date,time,sku,location,channel,quantity,gross_revenue,net_revenue,vat,cost,gross_profit,discount_amount,discount_pct,is_return
ROW00001050,TXN0000465,2025-05-03,17:51:29,SKU0010,Store A,Retail,2.0,0.332,0.2722,0.0598,0.03,0.2421,0.0,0.0,False
ROW00001066,TXN0000475,2025-05-03,19:36:54,SKU0636,Store A,Retail,1.0,1.1952,0.9796,0.2156,0.5602,0.4194,0.2988,0.2,False
ROW00001116,TXN0000493,2025-05-03,13:14:59,SKU0692,Store B,Retail,1.0,0.498,0.4082,0.0898,0.21,0.1982,0.0,0.0,False
ROW00001132,TXN0000500,2025-05-03,14:21:47,SKU0837,Store B,Retail,2.0,0.166,0.136,0.03,0.0963,0.0398,0.166,0.5,False
ROW00001148,TXN0000509,2025-05-03,15:17:39,SKU1272,Store B,Retail,1.0,5.81,4.7623,1.0477,2.7722,1.9901,0.0,0.0,False
ROW00001164,TXN0000519,2025-05-03,17:24:56,SKU0837,Store B,Retail,1.0,0.083,0.0681,0.0149,0.0481,0.0199,0.083,0.5,False
ROW00001228,TXN0000542,2025-05-03,11:49:05,SKU0148,Store C,Retail,1.0,0.913,0.7483,0.1647,0.3569,0.3914,0.0,0.0,False
ROW00001253,TXN0000554,2025-05-03,12:19:57,SKU0156,Store C,Retail,1.0,0.913,0.7483,0.1647,0.3403,0.408,0.0,0.0,False
ROW00001255,TXN0000554,2025-05-03,12:19:57,SKU0443,Store C,Retail,1.0,1.66,1.3606,0.2994,1.2948,0.0658,0.996,0.375,False
ROW00001258,TXN0000555,2025-05-03,12:20:31,SKU1741,Store C,Retail,1.0,0.083,0.083,0.0,0.083,0.0,0.0,0.0,False
ROW00001341,TXN0000586,2025-05-03,15:22:14,SKU1629,Store C,Retail,1.0,0.083,0.083,0.0,0.083,0.0,0.0,0.0,False
ROW00001378,TXN0000595,2025-05-03,16:10:47,SKU1678,Store C,Retail,1.0,0.415,0.3401,0.0749,0.2863,0.0538,0.415,0.5,False
ROW00001382,TXN0000598,2025-05-03,16:22:10,SKU1501,Store C,Retail,3.0,3.735,3.0615,0.6735,1.4691,1.5924,0.0,0.0,False
ROW00001389,TXN0000601,2025-05-03,16:29:07,SKU0004,Store C,Retail,1.0,0.415,0.3401,0.0749,0.0709,0.2693,0.0,0.0,False
ROW00001400,TXN0000603,2025-05-03,16:34:55,SKU1787,Store C,Retail,1.0,2.656,2.1771,0.4789,1.4027,0.7744,0.0,0.0,False
ROW00001505,TXN0000649,2025-05-04,12:46:17,SKU1520,Store A,Retail,1.0,1.3446,1.1022,0.2424,0.7221,0.3801,0.1494,0.1,False
ROW00001516,TXN0000651,2025-05-04,12:51:43,SKU1678,Store A,Retail,2.0,0.83,0.6804,0.1496,0.5727,0.1077,0.83,0.5,False
ROW00001581,TXN0000679,2025-05-04,15:18:43,SKU1077,Store A,Retail,1.0,1.66,1.3606,0.2994,0.4755,0.8851,0.0,0.0,False
ROW00001602,TXN0000686,2025-05-04,15:49:30,SKU1616,Store A,Retail,1.0,1.2699,1.0409,0.229,0.664,0.3769,0.1411,0.1,False
ROW00001622,TXN0000694,2025-05-04,16:44:02,SKU0095,Store A,Retail,1.0,0.913,0.7483,0.1647,0.3735,0.3748,0.0,0.0,False
ROW00001626,TXN0000695,2025-05-04,16:46:16,SKU0636,Store A,Retail,1.0,1.494,1.2246,0.2694,0.5602,0.6643,0.0,0.0,False
ROW00001696,TXN0000725,2025-05-04,13:59:46,SKU0636,Store B,Retail,1.0,1.3446,1.1022,0.2424,0.5602,0.5419,0.1494,0.1,False
ROW00001738,TXN0000747,2025-05-04,18:22:40,SKU1752,Store B,Retail,1.0,1.411,1.1565,0.2545,0.6225,0.534,0.0,0.0,False
ROW00001739,TXN0000748,2025-05-04,18:32:14,SKU1592,Store B,Retail,1.0,1.162,0.9524,0.2096,0.5727,0.3797,0.0,0.0,False
ROW00001753,TXN0000754,2025-05-04,10:22:07,SKU0408,Store C,Retail,2.0,2.988,2.4492,0.5388,1.2616,1.1876,0.0,0.0,False
ROW00001759,TXN0000757,2025-05-04,11:14:30,SKU0688,Store C,Retail,1.0,1.245,1.0205,0.2245,0.3586,0.6619,0.0,0.0,False
ROW00001791,TXN0000770,2025-05-04,12:49:37,SKU0477,Store C,Retail,1.0,0.83,0.6804,0.1496,0.2739,0.4065,0.0,0.0,False
ROW00001834,TXN0000788,2025-05-04,14:11:11,SKU0022,Store C,Retail,1.0,0.996,0.8164,0.1796,0.3845,0.4318,0.0,0.0,False
ROW00001889,TXN0000815,2025-05-04,17:51:26,SKU1787,Store C,Retail,1.0,2.656,2.1771,0.4789,1.4027,0.7744,0.0,0.0,False
ROW00001907,TXN0000826,2025-05-05,14:18:41,SKU0583,Store A,Retail,3.0,0.498,0.4082,0.0898,0.0747,0.3335,0.0,0.0,False
ROW00001935,TXN0000841,2025-05-05,20:27:40,SKU1790,Store A,Retail,1.0,2.656,2.1771,0.4789,1.4027,0.7744,0.0,0.0,False
ROW00001954,TXN0000851,2025-05-05,14:32:24,SKU1677,Store B,Retail,2.0,1.162,0.9524,0.2096,0.581,0.3714,0.498,0.3,False
ROW00001973,TXN0000860,2025-05-05,16:22:03,SKU1599,Store B,Retail,1.0,2.075,1.7008,0.3742,1.2284,0.4724,0.0,0.0,False
ROW00001981,TXN0000865,2025-05-05,17:33:59,SKU0712,Store B,Retail,1.0,1.245,1.0205,0.2245,0.3071,0.7134,0.0,0.0,False
ROW00002049,TXN0000889,2025-05-05,10:13:39,SKU0047,Store C,Retail,1.0,1.494,1.2246,0.2694,0.7055,0.5191,0.0,0.0,False
ROW00002072,TXN0000897,2025-05-05,13:25:09,SKU1208,Store C,Retail,1.0,2.075,1.7008,0.3742,0.9047,0.7961,0.0,0.0,False
ROW00002085,TXN0000901,2025-05-05,14:43:04,SKU0526,Store C,Retail,1.0,1.494,1.2246,0.2694,0.6224,0.6022,0.0,0.0,False
ROW00002184,TXN0000940,2025-05-06,17:35:47,SKU1741,Store A,Retail,1.0,0.083,0.083,0.0,0.083,0.0,0.0,0.0,False
ROW00002196,TXN0000944,2025-05-06,18:19:34,SKU1629,Store A,Retail,1.0,0.083,0.083,0.0,0.083,0.0,0.0,0.0,False
ROW00002232,TXN0000968,2025-05-06,15:24:47,SKU0157,Store B,Retail,2.0,1.826,1.4967,0.3293,0.7138,0.7829,0.0,0.0,False
ROW00002259,TXN0000976,2025-05-06,17:25:02,SKU0734,Store B,Retail,1.0,2.0916,1.7144,0.3772,1.0375,0.6769,0.2324,0.1,False
ROW00002295,TXN0000993,2025-05-06,14:32:07,SKU1432,Store C,Retail,1.0,1.494,1.2246,0.2694,0.6723,0.5523,0.0,0.0,False
ROW00002304,TXN0000997,2025-05-06,14:54:06,SKU0520,Store C,Retail,1.0,1.494,1.2246,0.2694,0.6059,0.6187,0.0,0.0,False
ROW00002340,TXN0001009,2025-05-06,10:14:18,SKU1790,Warehouse,Wholesale,24.0,36.9396,30.2784,6.6612,33.6648,-3.3864,26.8044,0.4205,False
ROW00002350,TXN0001014,2025-05-07,14:03:07,SKU1482,Store A,Retail,1.0,1.245,1.0205,0.2245,0.5312,0.4893,0.0,0.0,False
ROW00002375,TXN0001026,2025-05-07,16:56:10,SKU0519,Store A,Retail,2.0,0.332,0.2722,0.0598,0.249,0.0232,0.332,0.5,False
ROW00002418,TXN0001043,2025-05-07,20:04:23,SKU1746,Store A,Retail,1.0,1.494,1.2246,0.2694,0.5395,0.6851,0.0,0.0,False
ROW00002441,TXN0001051,2025-05-07,12:28:49,SKU1228,Store B,Retail,1.0,1.328,1.0885,0.2395,0.5976,0.4909,0.0,0.0,False
ROW00002488,TXN0001074,2025-05-07,15:01:38,SKU1790,Store B,Retail,1.0,2.1248,1.7417,0.3831,1.4027,0.339,0.5312,0.2,False
ROW00002501,TXN0001078,2025-05-07,16:06:22,SKU0519,Store B,Retail,1.0,0.166,0.136,0.03,0.1194,0.0166,0.166,0.5,False
ROW00002544,TXN0001101,2025-05-07,13:54:07,SKU0438,Store C,Retail,1.0,0.249,0.2041,0.0449,0.0264,0.1777,0.0,0.0,False
ROW00002555,TXN0001107,2025-05-07,14:36:53,SKU1618,Store C,Retail,1.0,1.411,1.1565,0.2545,0.664,0.4925,0.0,0.0,False
ROW00002630,TXN0001140,2025-05-08,17:16:26,SKU1512,Store A,Retail,1.0,0.664,0.5442,0.1198,0.3403,0.2039,0.0,0.0,False
ROW00002644,TXN0001146,2025-05-08,18:11:07,SKU0708,Store A,Retail,1.0,0.996,0.8164,0.1796,0.366,0.4504,0.0,0.0,False
ROW00002655,TXN0001150,2025-05-08,18:35:21,SKU1228,Store A,Retail,2.0,2.3904,1.9594,0.431,1.1952,0.7642,0.2656,0.1,False
ROW00002764,TXN0001194,2025-05-08,18:13:44,SKU0735,Store B,Retail,1.0,2.324,1.9049,0.4191,1.0375,0.8674,0.0,0.0,False
ROW00002774,TXN0001199,2025-05-08,19:23:07,SKU1261,Store B,Retail,2.0,2.158,1.7688,0.3892,1.1288,0.64,0.0,0.0,False
ROW00002781,TXN0001203,2025-05-08,19:48:51,SKU0462,Store B,Retail,1.0,0.332,0.2722,0.0598,0.1909,0.0813,0.083,0.2,False
ROW00002813,TXN0001219,2025-05-08,15:04:53,SKU1509,Store C,Retail,3.0,1.245,1.0205,0.2245,1.0209,-0.0004,0.747,0.375,False
ROW00002826,TXN0001227,2025-05-08,15:16:26,SKU0408,Store C,Retail,1.0,1.494,1.2246,0.2694,0.6308,0.5938,0.0,0.0,False
ROW00002872,TXN0001248,2025-05-08,20:05:11,SKU1671,Store C,Retail,1.0,1.3944,1.1429,0.2515,0.8466,0.2963,0.3486,0.2,False
ROW00002881,TXN0001251,2025-05-09,10:45:58,SKU1629,Store A,Retail,1.0,0.083,0.083,0.0,0.083,0.0,0.0,0.0,False
ROW00002887,TXN0001254,2025-05-09,12:46:20,SKU1404,Store A,Retail,1.0,0.996,0.8164,0.1796,0.4565,0.3599,0.0,0.0,False
ROW00002931,TXN0001264,2025-05-09,15:44:44,SKU1596,Store A,Retail,1.0,1.0458,0.8572,0.1886,0.5727,0.2845,0.1162,0.1,False
ROW00002953,TXN0001271,2025-05-09,17:36:18,SKU1621,Store A,Retail,1.0,2.075,1.7008,0.3742,1.3695,0.3313,0.0,0.0,False
ROW00002975,TXN0001281,2025-05-09,19:34:38,SKU1790,Store A,Retail,2.0,4.7808,3.9187,0.8621,2.8054,1.1133,0.5312,0.1,False
ROW00003044,TXN0001307,2025-05-09,12:36:06,SKU0134,Store B,Retail,1.0,0.249,0.2041,0.0449,0.0664,0.1377,0.0,0.0,False
ROW00003082,TXN0001322,2025-05-09,15:23:18,SKU1080,Store B,Retail,1.0,1.826,1.4967,0.3293,0.5004,0.9963,0.0,0.0,False
ROW00003096,TXN0001328,2025-05-09,16:17:35,SKU0837,Store B,Retail,1.0,0.083,0.0681,0.0149,0.0481,0.0199,0.083,0.5,False
ROW00003108,TXN0001332,2025-05-09,16:51:51,SKU0633,Store B,Retail,1.0,1.992,1.6328,0.3592,0.7968,0.836,0.0,0.0,False
ROW00003194,TXN0001366,2025-05-09,13:50:43,SKU0919,Store C,Retail,1.0,1.245,1.0205,0.2245,0.359,0.6615,0.0,0.0,False
ROW00003230,TXN0001381,2025-05-09,17:15:58,SKU0486,Store C,Retail,1.0,1.245,1.0205,0.2245,0.5312,0.4893,0.0,0.0,False
ROW00003250,TXN0001391,2025-05-09,18:28:06,SKU0280,Store C,Retail,1.0,0.249,0.2041,0.0449,0.1245,0.0796,0.0,0.0,False
ROW00003300,TXN0001408,2025-05-10,11:47:57,SKU0630,Store A,Retail,1.0,0.83,0.6804,0.1496,0.3604,0.32,0.0,0.0,False
ROW00003301,TXN0001409,2025-05-10,11:49:33,SKU1062,Store A,Retail,5.0,0.83,0.6804,0.1496,0.2561,0.4243,0.415,0.3333,False
ROW00003328,TXN0001419,2025-05-10,13:18:13,SKU0519,Store A,Retail,1.0,0.166,0.136,0.03,0.1245,0.0115,0.166,0.5,False
ROW00003332,TXN0001419,2025-05-10,13:18:13,SKU1678,Store A,Retail,1.0,0.415,0.3401,0.0749,0.2863,0.0538,0.415,0.5,False
ROW00003366,TXN0001433,2025-05-10,15:29:48,SKU1420,Store A,Retail,1.0,0.913,0.7483,0.1647,0.4067,0.3416,0.0,0.0,False
ROW00003382,TXN0001439,2025-05-10,16:54:38,SKU0280,Store A,Retail,1.0,0.249,0.2041,0.0449,0.1245,0.0796,0.0,0.0,False
ROW00003429,TXN0001456,2025-05-10,18:00:24,SKU0455,Store A,Retail,1.0,0.498,0.4082,0.0898,0.2158,0.1924,0.0,0.0,False
ROW00003545,TXN0001503,2025-05-10,15:11:42,SKU0307,Store B,Retail,2.0,1.7928,1.4695,0.3233,0.7968,0.6727,0.1992,0.1,False
ROW00003587,TXN0001514,2025-05-10,15:58:04,SKU1091,Store B,Retail,120.0,4.15,3.4017,0.7483,5.7768,-2.3751,15.77,0.7917,False
ROW00003615,TXN0001533,2025-05-10,18:40:39,SKU0339,Store B,Retail,1.0,2.49,2.041,0.449,1.2201,0.8209,0.0,0.0,False
ROW00003621,TXN0001536,2025-05-10,18:48:20,SKU1631,Store B,Retail,1.0,5.1543,4.2249,0.9294,2.8469,1.378,0.5727,0.1,False
ROW00003627,TXN0001537,2025-05-10,18:55:58,SKU1066,Store B,Retail,1.0,1.245,1.0205,0.2245,0.5071,0.5134,0.0,0.0,False
ROW00003674,TXN0001563,2025-05-10,13:55:27,SKU1606,Store C,Retail,1.0,1.411,1.1565,0.2545,0.664,0.4925,0.0,0.0,False
ROW00003695,TXN0001576,2025-05-10,14:15:34,SKU1236,Store C,Retail,1.0,1.245,1.0205,0.2245,0.4897,0.5308,0.0,0.0,False
ROW00003731,TXN0001590,2025-05-10,15:06:54,SKU1629,Store C,Retail,9.0,0.747,0.747,0.0,0.747,0.0,0.0,0.0,False
ROW00003741,TXN0001596,2025-05-10,15:43:30,SKU1600,Store C,Retail,1.0,2.075,1.7008,0.3742,0.83,0.8708,0.0,0.0,False
ROW00003765,TXN0001609,2025-05-10,15:51:28,SKU0531,Store C,Retail,1.0,2.49,2.041,0.449,1.1952,0.8458,0.0,0.0,False
ROW00003769,TXN0001610,2025-05-10,15:52:08,SKU1485,Store C,Retail,5.0,1.245,1.0205,0.2245,0.6391,0.3814,0.0,0.0,False
ROW00003788,TXN0001619,2025-05-10,15:59:44,SKU0028,Store C,Retail,1.0,1.162,0.9524,0.2096,0.343,0.6094,0.0,0.0,False
ROW00003870,TXN0001659,2025-05-11,12:05:51,SKU1394,Store A,Retail,1.0,1.909,1.5647,0.3443,0.7138,0.8509,0.0,0.0,False
ROW00003881,TXN0001665,2025-05-11,13:09:18,SKU1621,Store A,Retail,1.0,2.075,1.7008,0.3742,1.3695,0.3313,0.0,0.0,False
ROW00003886,TXN0001667,2025-05-11,13:24:52,SKU1609,Store A,Retail,1.0,1.411,1.1565,0.2545,0.664,0.4925,0.0,0.0,False
ROW00003897,TXN0001671,2025-05-11,13:38:32,SKU0649,Store A,Retail,1.0,2.075,1.7008,0.3742,0.996,0.7048,0.0,0.0,False
ROW00004018,TXN0001724,2025-05-11,18:30:24,SKU1294,Store A,Retail,1.0,0.249,0.2041,0.0449,0.0747,0.1294,0.0,0.0,False
ROW00004044,TXN0001735,2025-05-11,11:26:00,SKU0841,Store B,Retail,1.0,0.2905,0.2381,0.0524,0.2241,0.014,0.0,0.0,False
ROW00004078,TXN0001750,2025-05-11,13:48:29,SKU0837,Store B,Retail,4.0,0.332,0.2722,0.0598,0.1926,0.0796,0.332,0.5,False
ROW00004111,TXN0001767,2025-05-11,17:06:11,SKU1608,Store B,Retail,1.0,1.411,1.1565,0.2545,0.664,0.4925,0.0,0.0,False
ROW00004125,TXN0001770,2025-05-11,17:29:44,SKU0688,Store B,Retail,1.0,1.245,1.0205,0.2245,0.3586,0.6619,0.0,0.0,False
ROW00004157,TXN0001791,2025-05-11,12:36:41,SKU1689,Store C,Retail,1.0,1.411,1.1565,0.2545,0.6806,0.4759,0.0,0.0,False
ROW00004198,TXN0001806,2025-05-11,14:16:15,SKU1228,Store C,Retail,1.0,1.328,1.0885,0.2395,0.5976,0.4909,0.0,0.0,False
ROW00004225,TXN0001819,2025-05-11,15:43:07,SKU1068,Store C,Retail,1.0,1.162,0.9524,0.2096,0.4374,0.515,0.0,0.0,False
ROW00004239,TXN0001827,2025-05-12,10:18:57,SKU0462,Store A,Retail,1.0,0.332,0.2722,0.0598,0.1909,0.0813,0.083,0.2,False
ROW00004301,TXN0001854,2025-05-12,16:07:13,SKU0564,Store A,Retail,1.0,1.245,1.0205,0.2245,0.4897,0.5308,0.0,0.0,False
ROW00004334,TXN0001864,2025-05-12,16:45:20,SKU1598,Store A,Retail,1.0,2.075,1.7008,0.3742,1.3695,0.3313,0.0,0.0,False
ROW00004356,TXN0001877,2025-05-12,18:44:36,SKU1492,Store A,Retail,1.0,0.996,0.8164,0.1796,0.4897,0.3267,0.0,0.0,False
ROW00004385,TXN0001886,2025-05-12,11:42:39,SKU0735,Store B,Retail,1.0,2.324,1.9049,0.4191,1.0375,0.8674,0.0,0.0,False
ROW00004458,TXN0001926,2025-05-12,18:35:01,SKU0707,Store B,Retail,2.0,0.83,0.6804,0.1496,0.3486,0.3318,0.0,0.0,False
ROW00004463,TXN0001930,2025-05-12,18:53:12,SKU0001,Store B,Retail,2.0,0.332,0.2722,0.0598,0.0867,0.1855,0.0,0.0,False
ROW00004501,TXN0001943,2025-05-12,13:44:10,SKU1678,Store C,Retail,3.0,1.245,1.0205,0.2245,0.859,0.1614,1.245,0.5,False
ROW00004535,TXN0001956,2025-05-12,15:51:44,SKU0344,Store C,Retail,1.0,0.498,0.4082,0.0898,0.2739,0.1343,0.498,0.5,False
ROW00004554,TXN0001971,2025-05-12,19:51:06,SKU1366,Store C,Retail,1.0,0.83,0.6804,0.1496,0.5644,0.116,0.415,0.3333,False
ROW00004569,TXN0001976,2025-05-13,13:33:59,SKU1641,Store A,Retail,1.0,1.1205,0.9185,0.202,0.6391,0.2794,0.1245,0.1,False
ROW00004592,TXN0001985,2025-05-13,16:22:56,SKU1520,Store A,Retail,1.0,1.3446,1.1022,0.2424,0.7221,0.3801,0.1494,0.1,False
ROW00004598,TXN0001990,2025-05-13,17:59:38,SKU1013,Store A,Retail,1.0,1.494,1.2246,0.2694,0.415,0.8096,0.0,0.0,False
ROW00004655,TXN0002010,2025-05-13,13:01:44,SKU0477,Store B,Retail,1.0,0.83,0.6804,0.1496,0.2739,0.4065,0.0,0.0,False
ROW00004690,TXN0002027,2025-05-13,16:32:10,SKU1720,Store B,Retail,1.0,0.2988,0.2449,0.0539,0.1106,0.1343,0.0332,0.1,False
ROW00004693,TXN0002028,2025-05-13,16:38:20,SKU0838,Store B,Retail,1.0,0.2241,0.1837,0.0404,0.0687,0.115,0.0249,0.1,False
ROW00004732,TXN0002048,2025-05-13,10:07:23,SKU0841,Store C,Retail,1.0,0.2905,0.2381,0.0524,0.2241,0.014,0.0,0.0,False
ROW00004765,TXN0002059,2025-05-13,15:38:04,SKU1790,Store C,Retail,1.0,2.656,2.1771,0.4789,1.4027,0.7744,0.0,0.0,False
ROW00004796,TXN0002069,2025-05-13,18:39:39,SKU1091,Store C,Retail,7.0,0.581,0.4763,0.1047,0.337,0.1393,0.581,0.5,False
ROW00004816,TXN0002078,2025-05-13,08:56:47,SKU0741,Warehouse,Wholesale,12.0,35.2385,28.884,6.3545,21.1152,7.7688,9.5815,0.2138,False
ROW00004837,TXN0002085,2025-05-14,14:57:32,SKU0688,Store A,Retail,1.0,1.245,1.0205,0.2245,0.3586,0.6619,0.0,0.0,False
ROW00004888,TXN0002109,2025-05-14,19:57:13,SKU1617,Store A,Retail,1.0,1.2699,1.0409,0.229,0.664,0.3769,0.1411,0.1,False
ROW00004937,TXN0002133,2025-05-14,14:40:47,SKU1764,Store B,Retail,1.0,2.158,1.7688,0.3892,0.9406,0.8282,0.0,0.0,False
ROW00004979,TXN0002148,2025-05-14,17:35:21,SKU1159,Store B,Retail,1.0,2.2576,1.8505,0.4071,1.3486,0.5019,0.3984,0.15,False
ROW00004980,TXN0002148,2025-05-14,17:35:21,SKU1404,Store B,Retail,3.0,2.5398,2.0818,0.458,1.3695,0.7123,0.4482,0.15,False
ROW00005025,TXN0002177,2025-05-14,14:24:01,SKU0344,Store C,Retail,1.0,0.498,0.4082,0.0898,0.2739,0.1343,0.498,0.5,False
ROW00005031,TXN0002180,2025-05-14,15:04:28,SKU0713,Store C,Retail,1.0,1.245,1.0205,0.2245,0.3071,0.7134,0.0,0.0,False
ROW00005070,TXN0002201,2025-05-14,16:48:54,SKU0582,Store C,Retail,1.0,0.415,0.3401,0.0749,0.0913,0.2488,0.0,0.0,False
ROW00005083,TXN0002208,2025-05-14,17:01:00,SKU1610,Store C,Retail,1.0,1.411,1.1565,0.2545,0.664,0.4925,0.0,0.0,False
ROW00005141,TXN0002234,2025-05-15,15:14:49,SKU1764,Store A,Retail,1.0,2.158,1.7688,0.3892,0.9406,0.8282,0.0,0.0,False
ROW00005168,TXN0002244,2025-05-15,17:49:51,SKU0518,Store A,Retail,1.0,0.498,0.4082,0.0898,0.2229,0.1853,0.083,0.1429,False
ROW00005190,TXN0002249,2025-05-15,19:38:07,SKU0841,Store A,Retail,1.0,0.2905,0.2381,0.0524,0.2241,0.014,0.0,0.0,False
ROW00005205,TXN0002255,2025-05-15,10:23:42,SKU0664,Store B,Retail,2.0,7.6194,6.2454,1.374,4.0902,2.1552,0.8466,0.1,False
ROW00005272,TXN0002293,2025-05-15,18:43:02,SKU0653,Store B,Retail,1.0,1.6434,1.3471,0.2963,0.4067,0.9404,0.1826,0.1,False
ROW00005321,TXN0002311,2025-05-15,17:00:42,SKU1790,Store C,Retail,1.0,2.656,2.1771,0.4789,1.4027,0.7744,0.0,0.0,False
ROW00005342,TXN0002323,2025-05-15,19:43:25,SKU0169,Store C,Retail,1.0,0.166,0.136,0.03,0.1162,0.0198,0.166,0.5,False
ROW00005352,TXN0002329,2025-05-16,12:02:54,SKU1645,Store A,Retail,1.0,1.8675,1.5308,0.3367,0.7636,0.7672,0.2075,0.1,False
ROW00005364,TXN0002335,2025-05-16,15:24:58,SKU1368,Store A,Retail,1.0,0.83,0.6804,0.1496,0.6059,0.0745,0.415,0.3333,False
