sku,product_name,revenue,units,profit,revenue_share,cumulative_share,abc_class,monthly_avg_units,cv,xyz_class,segment
SKU0680,Product 0680,1424.529,480.0,783.6983,0.0061,0.2089,A,32.0,0.6791,Y,AY
SKU1323,Product 1323,1392.0179,1004.0,500.0832,0.006,0.2149,A,66.9333,0.7643,Y,AY
SKU1327,Product 1327,1333.2539,964.0,477.3525,0.0057,0.2206,A,64.2667,0.7504,Y,AY
SKU0667,Product 0667,1240.4682,300.0,409.6111,0.0053,0.226,A,20.0,0.8675,Y,AY
SKU0841,Product 0841,1215.3109,4260.0,136.048,0.0052,0.2312,A,284.0,0.2714,X,AX
SKU0803,Product 0803,1175.8195,900.0,731.6016,0.0051,0.2363,A,60.0,0.6235,Y,AY
SKU0941,Product 0941,1156.0074,86.0,385.6285,0.005,0.2413,A,5.7333,1.1001,Z,AZ
SKU0731,Product 0731,1119.919,326.0,185.884,0.0048,0.2461,A,21.7333,1.4473,Z,AZ
SKU0546,Product 0546,1110.9882,141.0,267.1973,0.0048,0.2509,A,9.4,2.0435,Z,AZ
SKU1485,Product 1485,1083.7061,4344.0,321.0443,0.0047,0.2556,A,289.6,0.5019,Y,AY
SKU0540,Product 0540,1066.384,814.0,360.0487,0.0046,0.2602,A,54.2667,0.8326,Y,AY
SKU0140,Product 0140,1044.0072,604.0,335.559,0.0045,0.2647,A,40.2667,0.5692,Y,AY
SKU1606,Product 1606,1032.9267,739.0,345.6014,0.0045,0.2691,A,49.2667,0.586,Y,AY
SKU0652,Product 0652,1016.1109,827.0,497.5663,0.0044,0.2735,A,55.1333,0.7064,Y,AY
SKU1729,Product 1729,1008.284,316.0,365.6525,0.0043,0.2779,A,21.0667,0.9294,Y,AY
SKU0547,Product 0547,1003.8684,142.0,161.3425,0.0043,0.2822,A,9.4667,1.086,Z,AZ
SKU1615,Product 1615,998.9133,717.0,332.2393,0.0043,0.2865,A,47.8,0.4759,X,AX
SKU1416,Product 1416,967.3235,904.0,350.1588,0.0042,0.2907,A,60.2667,1.0093,Z,AZ
SKU0681,Product 0681,946.7976,828.0,438.6531,0.0041,0.2948,A,55.2,1.0443,Z,AZ
SKU1502,Product 1502,920.221,1142.0,477.7396,0.004,0.2987,A,76.1333,0.897,Y,AY
SKU0555,Product 0555,872.5126,66.0,229.8458,0.0038,0.3025,A,4.4,1.7326,Z,AZ
SKU1730,Product 1730,849.3805,286.0,298.0889,0.0037,0.3062,A,19.0667,0.773,Y,AY
SKU1084,Product 1084,842.9646,695.0,458.0274,0.0036,0.3098,A,46.3333,0.8807,Y,AY
SKU0955,Product 0955,837.7854,71.0,202.4834,0.0036,0.3134,A,4.7333,2.0475,Z,AZ
SKU1013,Product 1013,837.221,767.0,323.9695,0.0036,0.317,A,51.1333,0.4242,X,AX
SKU0635,Product 0635,832.656,422.0,371.7464,0.0036,0.3206,A,28.1333,0.3488,X,AX
SKU0509,Product 0509,814.6782,417.0,383.6243,0.0035,0.3241,A,27.8,0.4763,X,AX
SKU1609,Product 1609,804.0542,581.0,265.0422,0.0035,0.3276,A,38.7333,0.4705,X,AX
SKU1216,Product 1216,797.0158,694.0,387.04,0.0034,0.331,A,46.2667,0.499,X,AX
SKU0678,Product 0678,778.2412,431.0,451.6071,0.0034,0.3344,A,28.7333,0.6457,Y,AY
SKU0019,Product 0019,776.6061,62.0,308.8388,0.0033,0.3377,A,4.1333,1.2366,Z,AZ
SKU0653,Product 0653,776.0168,444.0,447.1334,0.0033,0.3411,A,29.6,0.8171,Y,AY
SKU1610,Product 1610,753.474,545.0,248.1154,0.0032,0.3443,A,36.3333,0.5372,Y,AY
SKU1466,Product 1466,748.7596,241.0,293.7894,0.0032,0.3476,A,16.0667,0.8045,Y,AY
SKU0688,Product 0688,742.8417,596.0,386.5039,0.0032,0.3508,A,39.7333,0.5723,Y,AY
SKU0798,Product 0798,732.9896,237.0,286.218,0.0032,0.3539,A,15.8,0.8006,Y,AY
SKU1090,Product 1090,729.1965,311.0,226.5777,0.0031,0.3571,A,20.7333,1.6956,Z,AZ
SKU1650,Product 1650,715.4351,176.0,235.2999,0.0031,0.3602,A,11.7333,0.651,Y,AY
SKU0564,Product 0564,712.804,485.0,339.406,0.0031,0.3632,A,32.3333,0.6642,Y,AY
SKU1647,Product 1647,710.5547,356.0,200.4931,0.0031,0.3663,A,23.7333,0.9105,Y,AY
SKU0799,Product 0799,709.65,228.0,278.9741,0.0031,0.3694,A,15.2,0.7677,Y,AY
SKU1766,Product 1766,698.0798,337.0,311.6356,0.003,0.3724,A,22.4667,0.5692,Y,AY
SKU1768,Product 1768,695.955,328.0,318.2178,0.003,0.3754,A,21.8667,0.6358,Y,AY
SKU0050,Product 0050,694.0294,260.0,376.2689,0.003,0.3784,A,17.3333,0.7467,Y,AY
SKU1685,Product 1685,690.809,356.0,202.5294,0.003,0.3813,A,23.7333,1.0563,Z,AZ
SKU1501,Product 1501,682.011,556.0,298.2002,0.0029,0.3843,A,37.0667,0.4429,X,AX
SKU1401,Product 1401,680.7328,261.0,225.1835,0.0029,0.3872,A,17.4,0.5668,Y,AY
SKU1259,Product 1259,670.4574,232.0,226.8599,0.0029,0.3901,A,15.4667,1.0182,Z,AZ
SKU0814,Product 0814,662.34,28.0,94.0254,0.0029,0.393,A,1.8667,2.6467,Z,AZ
SKU0692,Product 0692,659.5014,1344.0,250.9214,0.0028,0.3958,A,89.6,0.58,Y,AY
SKU0801,Product 0801,654.1313,419.0,266.7065,0.0028,0.3986,A,27.9333,0.7522,Y,AY
SKU1079,Product 1079,651.7824,432.0,363.0738,0.0028,0.4014,A,28.8,0.9529,Y,AY
SKU0248,Product 0248,635.1824,423.0,213.2901,0.0027,0.4042,A,28.2,1.0382,Z,AZ
SKU0551,Product 0551,626.2931,288.0,230.1752,0.0027,0.4069,A,19.2,2.3319,Z,AZ
SKU0260,Product 0260,624.492,344.0,258.423,0.0027,0.4096,A,22.9333,1.1097,Z,AZ
SKU1524,Product 1524,624.2015,335.0,208.9016,0.0027,0.4123,A,22.3333,0.8174,Y,AY
SKU0634,Product 0634,621.3546,346.0,250.4117,0.0027,0.4149,A,23.0667,0.383,X,AX
SKU0282,Product 0282,614.2664,341.0,216.4764,0.0026,0.4176,A,22.7333,1.5548,Z,AZ
SKU1786,Product 1786,587.0507,148.0,155.8523,0.0025,0.4201,A,9.8667,1.3901,Z,AZ
SKU0711,Product 0711,581.5063,793.0,239.0442,0.0025,0.4226,A,52.8667,0.3594,X,AX
SKU1068,Product 1068,578.4436,464.0,264.2381,0.0025,0.4251,A,30.9333,0.8368,Y,AY
SKU0861,Product 0861,574.7916,1185.0,118.3232,0.0025,0.4276,A,79.0,1.4609,Z,AZ
SKU0070,Product 0070,560.8559,359.0,228.8347,0.0024,0.43,A,23.9333,0.706,Y,AY
SKU0398,Product 0398,560.3496,236.0,216.8367,0.0024,0.4324,A,15.7333,0.8573,Y,AY
SKU1629,Product 1629,559.8516,6746.0,-0.0664,0.0024,0.4349,A,449.7333,0.3861,X,AX
SKU0703,Product 0703,558.9552,569.0,257.1309,0.0024,0.4373,A,37.9333,0.8082,Y,AY
SKU1202,Product 1202,557.76,237.0,159.7001,0.0024,0.4397,A,15.8,1.0897,Z,AZ
SKU1228,Product 1228,555.5356,471.0,168.5254,0.0024,0.4421,A,31.4,1.322,Z,AZ
SKU1394,Product 1394,554.1661,274.0,252.0035,0.0024,0.4445,A,18.2667,0.7091,Y,AY
SKU1332,Product 1332,551.1532,419.0,209.1052,0.0024,0.4468,A,27.9333,0.2765,X,AX
SKU1237,Product 1237,545.9906,457.0,217.6057,0.0024,0.4492,A,30.4667,0.4865,X,AX
SKU0800,Product 0800,545.3266,176.0,227.9621,0.0024,0.4515,A,11.7333,0.9022,Y,AY
SKU1735,Product 1735,540.6786,367.0,268.5846,0.0023,0.4539,A,24.4667,1.5964,Z,AZ
SKU1613,Product 1613,534.6445,409.0,165.0025,0.0023,0.4562,A,27.2667,0.5905,Y,AY
SKU0081,Product 0081,534.52,428.0,168.6044,0.0023,0.4585,A,28.5333,0.5051,Y,AY
SKU1369,Product 1369,534.188,1474.0,-399.208,0.0023,0.4608,A,98.2667,1.5259,Z,AZ
SKU0904,Product 0904,525.8797,61.0,175.121,0.0023,0.4631,A,4.0667,1.2759,Z,AZ
SKU0712,Product 0712,524.2695,425.0,293.534,0.0023,0.4653,A,28.3333,0.5785,Y,AY
SKU0713,Product 0713,523.8379,425.0,292.7381,0.0023,0.4676,A,28.3333,0.4096,X,AX
SKU0100,Product 0100,517.1979,2340.0,243.2402,0.0022,0.4698,A,156.0,1.0498,Z,AZ
SKU1616,Product 1616,515.8616,372.0,170.3361,0.0022,0.472,A,24.8,0.3743,X,AX
SKU0802,Product 0802,512.3673,329.0,208.4033,0.0022,0.4742,A,21.9333,0.7273,Y,AY
SKU0984,Product 0984,509.0971,258.0,175.0068,0.0022,0.4764,A,17.2,1.199,Z,AZ
SKU1051,Product 1051,508.4248,386.0,235.8529,0.0022,0.4786,A,25.7333,1.1745,Z,AZ
SKU1234,Product 1234,507.6031,271.0,270.7412,0.0022,0.4808,A,18.0667,0.597,Y,AY
SKU0665,Product 0665,501.4279,122.0,159.2841,0.0022,0.483,A,8.1333,1.7628,Z,AZ
SKU0815,Product 0815,500.49,64.0,63.865,0.0022,0.4851,A,4.2667,2.5864,Z,AZ
SKU1663,Product 1663,495.1946,299.0,93.7137,0.0021,0.4873,A,19.9333,0.734,Y,AY
SKU1664,Product 1664,495.1531,218.0,154.1192,0.0021,0.4894,A,14.5333,0.8443,Y,AY
SKU0708,Product 0708,480.6696,489.0,209.3223,0.0021,0.4915,A,32.6,0.5376,Y,AY
SKU1009,Product 1009,477.1587,354.0,226.7131,0.0021,0.4935,A,23.6,0.6935,Y,AY
SKU1697,Product 1697,476.5777,399.0,189.7648,0.0021,0.4956,A,26.6,1.4035,Z,AZ
SKU1687,Product 1687,470.0954,768.0,111.9859,0.002,0.4976,A,51.2,1.0979,Z,AZ
SKU1408,Product 1408,469.282,288.0,159.4853,0.002,0.4996,A,19.2,0.6521,Y,AY
SKU1614,Product 1614,461.8203,335.0,151.1278,0.002,0.5016,A,22.3333,0.4082,X,AX
SKU0476,Product 0476,454.6906,399.0,162.2614,0.002,0.5036,A,26.6,0.5527,Y,AY
SKU1723,Product 1723,452.682,143.0,140.7411,0.002,0.5056,A,9.5333,1.0886,Z,AZ
SKU0698,Product 0698,450.7149,241.0,218.1145,0.0019,0.5075,A,16.0667,0.6921,Y,AY
SKU1443,Product 1443,450.3829,500.0,139.4826,0.0019,0.5094,A,33.3333,1.1577,Z,AZ
SKU0702,Product 0702,449.9845,394.0,225.3751,0.0019,0.5114,A,26.2667,0.7612,Y,AY
SKU0228,Product 0228,447.3036,1976.0,241.8124,0.0019,0.5133,A,131.7333,1.499,Z,AZ
SKU1089,Product 1089,446.1582,460.0,155.0247,0.0019,0.5152,A,30.6667,0.9579,Y,AY
SKU0583,Product 0583,445.7764,5620.0,219.3107,0.0019,0.5172,A,374.6667,1.2405,Z,AZ
SKU0451,Product 0451,444.3156,274.0,233.5688,0.0019,0.5191,A,18.2667,0.692,Y,AY
SKU1607,Product 1607,439.3439,334.0,133.5687,0.0019,0.521,A,22.2667,0.3835,X,AX
SKU1425,Product 1425,439.319,268.0,151.2951,0.0019,0.5229,A,17.8667,0.7398,Y,AY
SKU1678,Product 1678,438.738,2348.0,-316.3079,0.0019,0.5248,A,156.5333,1.5521,Z,AZ
SKU0352,Product 0352,437.5926,295.0,177.6876,0.0019,0.5266,A,19.6667,1.8176,Z,AZ
SKU0954,Product 0954,436.0322,43.0,109.34,0.0019,0.5285,A,2.8667,1.5083,Z,AZ
SKU1767,Product 1767,432.2474,203.0,201.8824,0.0019,0.5304,A,13.5333,0.9446,Y,AY
SKU0902,Product 0902,430.2222,34.0,174.9028,0.0019,0.5322,A,2.2667,1.4486,Z,AZ
SKU0153,Product 0153,424.213,1204.0,189.4477,0.0018,0.5341,A,80.2667,0.6819,Y,AY
SKU1789,Product 1789,416.826,239.0,18.7582,0.0018,0.5359,A,15.9333,1.4981,Z,AZ
SKU0518,Product 0518,412.3772,738.0,168.346,0.0018,0.5376,A,49.2,1.0139,Z,AZ
SKU1249,Product 1249,410.352,553.0,152.0995,0.0018,0.5394,A,36.8667,0.7582,Y,AY
SKU0950,Product 0950,408.858,832.0,185.4679,0.0018,0.5412,A,55.4667,0.7693,Y,AY
SKU0640,Product 0640,407.5632,250.0,173.7873,0.0018,0.5429,A,16.6667,0.4511,X,AX
SKU1370,Product 1370,406.2435,500.0,125.2096,0.0018,0.5447,A,33.3333,0.7264,Y,AY
SKU0494,Product 0494,404.8076,158.0,164.6718,0.0017,0.5464,A,10.5333,1.1911,Z,AZ
SKU1366,Product 1366,404.21,1259.0,-382.1308,0.0017,0.5482,A,83.9333,2.0179,Z,AZ
SKU1728,Product 1728,402.633,131.0,124.2842,0.0017,0.5499,A,8.7333,1.091,Z,AZ
SKU1788,Product 1788,398.6905,238.0,5.4612,0.0017,0.5516,A,15.8667,1.6469,Z,AZ
SKU1592,Product 1592,396.6404,346.0,134.6287,0.0017,0.5533,A,23.0667,0.6046,Y,AY
SKU1236,Product 1236,395.5365,335.0,155.554,0.0017,0.555,A,22.3333,0.7113,Y,AY
SKU1410,Product 1410,394.25,241.0,134.3074,0.0017,0.5567,A,16.0667,0.5779,Y,AY
SKU1611,Product 1611,393.5279,297.0,121.0712,0.0017,0.5584,A,19.8,0.4299,X,AX
SKU1364,Product 1364,391.9675,192.0,155.412,0.0017,0.5601,A,12.8,1.0696,Z,AZ
SKU1594,Product 1594,390.6644,341.0,132.2362,0.0017,0.5618,A,22.7333,0.7082,Y,AY
SKU0939,Product 0939,386.5393,22.0,57.1812,0.0017,0.5635,A,1.4667,1.2851,Z,AZ
SKU0063,Product 0063,386.448,236.0,161.8696,0.0017,0.5652,A,15.7333,2.3267,Z,AZ
SKU0519,Product 0519,383.8584,1345.0,173.6879,0.0017,0.5668,A,89.6667,0.6385,Y,AY
SKU1764,Product 1764,379.9159,178.0,182.4953,0.0016,0.5684,A,11.8667,1.1265,Z,AZ
SKU0898,Product 0898,375.2596,54.0,122.0039,0.0016,0.5701,A,3.6,1.5776,Z,AZ
SKU1727,Product 1727,374.247,120.0,118.6475,0.0016,0.5717,A,8.0,1.3254,Z,AZ
SKU1722,Product 1722,374.0976,1245.0,174.5674,0.0016,0.5733,A,83.0,2.1605,Z,AZ
SKU0710,Product 0710,371.2258,414.0,168.8017,0.0016,0.5749,A,27.6,0.653,Y,AY
SKU0121,Product 0121,370.3128,188.0,168.8628,0.0016,0.5765,A,12.5333,0.7136,Y,AY
SKU1270,Product 1270,362.5938,252.0,138.3544,0.0016,0.5781,A,16.8,0.728,Y,AY
SKU1510,Product 1510,360.8591,486.0,106.3641,0.0016,0.5796,A,32.4,0.8468,Y,AY
SKU0119,Product 0119,358.8588,242.0,165.9847,0.0015,0.5812,A,16.1333,0.904,Y,AY
SKU1301,Product 1301,357.7632,81.0,108.9233,0.0015,0.5827,A,5.4,1.1666,Z,AZ
SKU0232,Product 0232,357.73,579.0,211.6053,0.0015,0.5842,A,38.6,1.3561,Z,AZ
SKU1088,Product 1088,357.149,478.0,113.9788,0.0015,0.5858,A,31.8667,0.4317,X,AX
SKU1598,Product 1598,355.4558,143.0,93.0359,0.0015,0.5873,A,9.5333,1.207,Z,AZ
SKU0933,Product 0933,354.4183,40.0,101.892,0.0015,0.5888,A,2.6667,1.4079,Z,AZ
SKU1716,Product 1716,353.3642,291.0,142.9512,0.0015,0.5904,A,19.4,1.2002,Z,AZ
SKU1537,Product 1537,351.837,287.0,145.5818,0.0015,0.5919,A,19.1333,1.6069,Z,AZ
SKU1513,Product 1513,349.4051,471.0,104.2591,0.0015,0.5934,A,31.4,0.5156,Y,AY
SKU0015,Product 0015,349.347,144.0,138.3106,0.0015,0.5949,A,9.6,1.2671,Z,AZ
SKU0637,Product 0637,346.2345,234.0,187.3767,0.0015,0.5964,A,15.6,1.1335,Z,AZ
SKU1030,Product 1030,345.197,506.0,55.7996,0.0015,0.5979,A,33.7333,1.4334,Z,AZ
SKU0905,Product 0905,345.1389,17.0,88.9921,0.0015,0.5994,A,1.1333,1.7605,Z,AZ
SKU0821,Product 0821,345.031,2182.0,142.1871,0.0015,0.6009,A,145.4667,1.5594,Z,AZ
SKU1328,Product 1328,344.9895,249.0,123.2193,0.0015,0.6023,A,16.6,2.6529,Z,AZ
SKU0152,Product 0152,342.0264,961.0,158.0718,0.0015,0.6038,A,64.0667,0.396,X,AX
SKU1274,Product 1274,341.6944,216.0,98.3846,0.0015,0.6053,A,14.4,0.5903,Y,AY
SKU0145,Product 0145,341.1466,959.0,157.5494,0.0015,0.6068,A,63.9333,0.4904,X,AX
SKU1436,Product 1436,335.984,1520.0,157.5824,0.0014,0.6082,A,101.3333,0.6244,Y,AY
SKU0709,Product 0709,332.83,404.0,188.3078,0.0014,0.6097,A,26.9333,0.8551,Y,AY
SKU0325,Product 0325,331.3692,239.0,95.688,0.0014,0.6111,A,15.9333,0.7873,Y,AY
SKU0707,Product 0707,330.0827,1191.0,59.5835,0.0014,0.6125,A,79.4,1.9103,Z,AZ
SKU0174,Product 0174,329.9251,218.0,178.1578,0.0014,0.6139,A,14.5333,1.5117,Z,AZ
SKU1618,Product 1618,328.4227,304.0,98.1628,0.0014,0.6153,A,20.2667,0.7533,Y,AY
SKU1719,Product 1719,328.3314,108.0,107.9126,0.0014,0.6168,A,7.2,2.4813,Z,AZ
SKU0863,Product 0863,325.941,549.0,25.9028,0.0014,0.6182,A,36.6,1.7779,Z,AZ
SKU1420,Product 1420,325.7003,384.0,93.0516,0.0014,0.6196,A,25.6,0.4852,X,AX
SKU0982,Product 0982,322.6542,269.0,129.6087,0.0014,0.621,A,17.9333,1.4474,Z,AZ
SKU1424,Product 1424,318.0228,1294.0,161.1232,0.0014,0.6223,A,86.2667,0.6133,Y,AY
SKU1546,Product 1546,317.1596,432.0,92.9931,0.0014,0.6237,A,28.8,0.7619,Y,AY
SKU0139,Product 0139,311.084,191.0,108.3157,0.0013,0.625,A,12.7333,1.0467,Z,AZ
SKU0154,Product 0154,309.5402,225.0,174.9271,0.0013,0.6264,A,15.0,0.7471,Y,AY
SKU0157,Product 0157,307.7889,342.0,127.0268,0.0013,0.6277,A,22.8,0.7987,Y,AY
SKU1482,Product 1482,307.6395,251.0,114.8163,0.0013,0.629,A,16.7333,0.5866,Y,AY
SKU1305,Product 1305,306.27,154.0,143.4637,0.0013,0.6304,A,10.2667,1.3347,Z,AZ
SKU1460,Product 1460,306.1206,283.0,87.2031,0.0013,0.6317,A,18.8667,0.9701,Y,AY
SKU0660,Product 0660,305.7886,144.0,132.2017,0.0013,0.633,A,9.6,1.5007,Z,AZ
SKU1048,Product 1048,305.523,247.0,141.8272,0.0013,0.6343,A,16.4667,0.8818,Y,AY
SKU1367,Product 1367,305.191,963.0,-295.6832,0.0013,0.6356,A,64.2,2.0473,Z,AZ
SKU0574,Product 0574,304.8507,40.0,91.1357,0.0013,0.6369,A,2.6667,3.1746,Z,AZ
SKU1398,Product 1398,304.6017,1240.0,154.1065,0.0013,0.6383,A,82.6667,0.6258,Y,AY
SKU1512,Product 1512,304.3112,421.0,90.2476,0.0013,0.6396,A,28.0667,0.8697,Y,AY
SKU1765,Product 1765,304.278,143.0,153.9965,0.0013,0.6409,A,9.5333,1.1992,Z,AZ
SKU1724,Product 1724,303.116,96.0,93.8529,0.0013,0.6422,A,6.4,1.5701,Z,AZ
SKU0455,Product 0455,302.3856,615.0,112.6924,0.0013,0.6435,A,41.0,1.4864,Z,AZ
SKU1651,Product 1651,302.0785,70.0,106.4961,0.0013,0.6448,A,4.6667,1.4183,Z,AZ
SKU1492,Product 1492,298.9992,304.0,105.8775,0.0013,0.6461,A,20.2667,0.7066,Y,AY
SKU0831,Product 0831,297.0902,653.0,128.4849,0.0013,0.6474,A,43.5333,1.0063,Z,AZ
SKU0906,Product 0906,293.7702,132.0,143.7845,0.0013,0.6486,A,8.8,2.6515,Z,AZ
SKU1621,Product 1621,292.9651,120.0,72.7846,0.0013,0.6499,A,8.0,1.1486,Z,AZ
SKU1597,Product 1597,292.5335,119.0,88.8074,0.0013,0.6512,A,7.9333,1.2912,Z,AZ
SKU0148,Product 0148,291.0644,324.0,120.3793,0.0013,0.6524,A,21.6,0.939,Y,AY
SKU0806,Product 0806,289.6368,223.0,172.496,0.0012,0.6537,A,14.8667,1.0096,Z,AZ
SKU0441,Product 0441,289.0973,3012.0,160.1405,0.0012,0.6549,A,200.8,1.151,Z,AZ
SKU1642,Product 1642,289.006,240.0,80.4673,0.0012,0.6562,A,16.0,0.9484,Y,AY
SKU0989,Product 0989,288.093,118.0,100.1163,0.0012,0.6574,A,7.8667,1.7322,Z,AZ
SKU0064,Product 0064,287.2464,320.0,112.571,0.0012,0.6586,A,21.3333,0.7326,Y,AY
SKU0122,Product 0122,286.682,159.0,142.3409,0.0012,0.6599,A,10.6,0.7218,Y,AY
SKU0477,Product 0477,286.101,347.0,137.0443,0.0012,0.6611,A,23.1333,1.8147,Z,AZ
SKU1329,Product 1329,285.2461,190.0,107.1982,0.0012,0.6623,A,12.6667,1.1563,Z,AZ
SKU1641,Product 1641,284.2335,236.0,78.9702,0.0012,0.6636,A,15.7333,0.8145,Y,AY
SKU1608,Product 1608,283.6774,258.0,74.647,0.0012,0.6648,A,17.2,1.2894,Z,AZ
SKU1643,Product 1643,283.611,236.0,78.5958,0.0012,0.666,A,15.7333,0.9444,Y,AY
SKU1649,Product 1649,282.7478,145.0,85.2771,0.0012,0.6672,A,9.6667,0.3784,X,AX
SKU0553,Product 0553,282.3328,215.0,92.0626,0.0012,0.6684,A,14.3333,1.4348,Z,AZ
SKU1700,Product 1700,281.8348,270.0,95.068,0.0012,0.6697,A,18.0,1.799,Z,AZ
SKU0883,Product 0883,281.6439,1828.0,98.1682,0.0012,0.6709,A,121.8667,1.7267,Z,AZ
SKU0438,Product 0438,279.8926,3348.0,137.9522,0.0012,0.6721,A,223.2,1.8426,Z,AZ
SKU1648,Product 1648,278.2824,146.0,80.5436,0.0012,0.6733,A,9.7333,0.5805,Y,AY
SKU0125,Product 0125,274.2652,152.0,138.8631,0.0012,0.6745,A,10.1333,0.7173,Y,AY
SKU0094,Product 0094,273.6261,305.0,107.1436,0.0012,0.6756,A,20.3333,0.5066,Y,AY
SKU1645,Product 1645,271.8333,115.0,106.4062,0.0012,0.6768,A,7.6667,1.1569,Z,AZ
SKU0155,Product 0155,268.0568,194.0,151.7653,0.0012,0.678,A,12.9333,0.7143,Y,AY
SKU0124,Product 0124,267.3264,148.0,140.5561,0.0012,0.6791,A,9.8667,0.9007,Y,AY
SKU0182,Product 0182,266.8118,4283.0,133.3266,0.0012,0.6803,A,285.5333,1.1069,Z,AZ
SKU1102,Product 1102,266.43,126.0,23.589,0.0011,0.6814,A,8.4,0.8097,Y,AY
SKU1014,Product 1014,263.7408,207.0,123.7358,0.0011,0.6826,A,13.8,1.0292,Z,AZ
SKU0417,Product 0417,263.442,108.0,102.7965,0.0011,0.6837,A,7.2,2.0568,Z,AZ
SKU0087,Product 0087,262.446,293.0,102.5638,0.0011,0.6848,A,19.5333,0.6097,Y,AY
SKU0654,Product 0654,262.031,145.0,155.7146,0.0011,0.686,A,9.6667,0.7185,Y,AY
SKU1253,Product 1253,261.8899,185.0,101.4864,0.0011,0.6871,A,12.3333,0.9829,Y,AY
SKU0983,Product 0983,260.6615,220.0,104.4236,0.0011,0.6882,A,14.6667,1.2139,Z,AZ
SKU1543,Product 1543,258.8023,158.0,82.4827,0.0011,0.6893,A,10.5333,0.6099,Y,AY
SKU1721,Product 1721,256.719,96.0,97.868,0.0011,0.6904,A,6.4,1.9674,Z,AZ
SKU0098,Product 0098,256.387,1544.0,92.5818,0.0011,0.6915,A,102.9333,1.6345,Z,AZ
SKU1271,Product 1271,255.64,142.0,85.1683,0.0011,0.6926,A,9.4667,0.7924,Y,AY
SKU0086,Product 0086,255.4076,284.0,100.7794,0.0011,0.6937,A,18.9333,0.7279,Y,AY
SKU1049,Product 1049,252.237,205.0,129.9661,0.0011,0.6948,A,13.6667,0.7697,Y,AY
SKU1701,Product 1701,246.8752,234.0,84.5042,0.0011,0.6959,A,15.6,0.7392,Y,AY
SKU0200,Product 0200,243.0738,164.0,93.323,0.001,0.6969,A,10.9333,1.9109,Z,AZ
SKU0007,Product 0007,242.5094,421.0,107.6994,0.001,0.698,A,28.0667,0.3403,X,AX
SKU0044,Product 0044,242.4015,97.0,35.3991,0.001,0.699,A,6.4667,1.283,Z,AZ
SKU1731,Product 1731,241.862,83.0,64.8474,0.001,0.7001,A,5.5333,1.7292,Z,AZ
SKU1050,Product 1050,241.53,195.0,132.2818,0.001,0.7011,A,13.0,0.7559,Y,AY
SKU0452,Product 0452,241.0154,190.0,80.0587,0.001,0.7022,A,12.6667,1.3016,Z,AZ
SKU0807,Product 0807,240.6336,184.0,143.6593,0.001,0.7032,A,12.2667,0.9795,Y,AY
SKU0474,Product 0474,238.5005,582.0,92.1898,0.001,0.7042,A,38.8,0.3992,X,AX
SKU1518,Product 1518,237.4215,349.0,58.9227,0.001,0.7053,A,23.2667,0.8827,Y,AY
SKU1593,Product 1593,235.8528,212.0,69.8613,0.001,0.7063,A,14.1333,1.08,Z,AZ
