period,sku,location,retail_price,retail_price_net,avg_qty,min_qty,max_qty,current_qty,current_retail_value,current_cost_value,unit_cost,purchase_price,product_name,unit,unit_description,stock_group,supplier
2025-05-01,SKU0103,Store A,10.707,8.6347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0103,TK,TK(150)G,CANDYLAND,Supplier 73
2025-05-01,SKU0105,Warehouse,0.913,0.7363,0.0,0.0,0.0,28.0,25.564,10.458,0.0,0.0,Product 0105,TK,TK(90)G,CANDYLAND,Supplier 68
2025-05-01,SKU0112,Warehouse,0.913,0.7363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0112,TK,TK(100)G,CANDYLAND,Supplier 68
2025-05-01,SKU0119,Store B,1.494,1.2048,0.0,0.0,0.0,14.0,20.916,6.8558,0.0,0.0,Product 0119,TK,TK(80)ML,CANDYLAND,Supplier 05
2025-05-01,SKU0120,Store C,3.071,2.4766,0.0,0.0,0.0,8.0,24.568,11.2216,0.0,0.0,Product 0120,TK,TK(30)G,CANDYLAND,Supplier 05
2025-05-01,SKU0121,Warehouse,1.992,1.6065,0.0,0.0,0.0,96.0,191.232,66.2699,0.0,0.0,Product 0121,TK,TK(10)G,CANDYLAND,Supplier 05
2025-05-01,SKU0122,Store C,1.826,1.4726,0.0,0.0,0.0,8.0,14.608,4.4707,0.0,0.0,Product 0122,TK,TK(17)G,CANDYLAND,Supplier 05
2025-05-01,SKU0122,Warehouse,1.826,1.4726,0.0,0.0,0.0,168.0,306.768,93.885,0.0,0.0,Product 0122,TK,TK(17)G,CANDYLAND,Supplier 05
2025-05-01,SKU0126,Warehouse,1.826,1.4726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0126,TK,TK(16)G,CANDYLAND,Supplier 05
2025-05-01,SKU0134,Store C,0.249,0.2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0134,TK,TK(8)G,CANDYLAND,Supplier 36
2025-05-01,SKU0136,Store B,2.656,2.1419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0136,TK,TK(750)ML,CANDYLAND,Supplier 59
2025-05-01,SKU0141,Store B,0.996,0.8032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0141,TK,TK(330)ML,CANDYLAND,Multiple suppliers
2025-05-01,SKU0141,Store C,0.996,0.8032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0141,TK,TK(330)ML,CANDYLAND,Multiple suppliers
2025-05-01,SKU0144,Store C,0.3735,0.3012,10.129,0.0,24.0,19.0,7.0965,2.3387,0.1231,0.1231,Product 0144,TK,TK(19)G,CANDYLAND,Supplier 68
2025-05-01,SKU0148,Store C,0.913,0.7363,24.838,11.0,39.0,27.0,24.651,9.6363,0.3569,0.3569,Product 0148,TK,TK(90)G,CANDYLAND,Supplier 68
2025-05-01,SKU0152,Store B,0.3735,0.3012,15.387,8.0,54.0,90.0,33.615,11.078,0.1231,0.1231,Product 0152,TK,TK(20)G,CANDYLAND,Supplier 68
2025-05-01,SKU0156,Warehouse,0.913,0.7363,70.419,51.0,79.0,154.0,140.602,52.4062,0.3403,0.3403,Product 0156,TK,TK(90)G,CANDYLAND,Supplier 68
2025-05-01,SKU0158,Store A,1.66,1.3387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0158,TK,TK(200)G,CANDYLAND,Supplier 59
2025-05-01,SKU0164,Store C,1.494,1.2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0164,TK,TK(200)G,CANDYLAND,Supplier 59
2025-05-01,SKU0180,Store C,0.83,0.6694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0180,TK,TK(330)ML,CANDYLAND,Supplier 59
2025-05-01,SKU0187,Store A,2.324,1.8742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0187,TK,TK(220)G,CANDYLAND,Supplier 59
2025-05-01,SKU0189,Store A,0.249,0.2008,285.225,272.0,294.0,120.0,29.88,3.1673,0.0264,0.0264,Product 0189,TK,TK(5)G,CANDYLAND,Supplier 68
2025-05-01,SKU0193,Warehouse,1.494,1.2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0193,TK,TK(132)G,CANDYLAND,Supplier 59
2025-05-01,SKU0195,Warehouse,2.324,1.8742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0195,TK,TK(126)G,CANDYLAND,Supplier 59
2025-05-01,SKU0197,Store B,2.324,1.8742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0197,TK,TK(750)ML,CANDYLAND,Supplier 59
2025-05-01,SKU0200,Warehouse,1.494,1.2048,21.677,0.0,48.0,0.0,0.0,0.0,0.6391,0.6391,Product 0200,TK,TK(85)G,CANDYLAND,Supplier 59
2025-05-01,SKU0202,Warehouse,1.494,1.2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0202,TK,TK(100)G,CANDYLAND,Supplier 59
2025-05-01,SKU0203,Warehouse,0.747,0.6024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0203,TK,TK(330)ML,CANDYLAND,Supplier 59
2025-05-01,SKU0215,Store A,1.66,1.3387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0215,TK,TK(200)G,CANDYLAND,Supplier 59
2025-05-01,SKU0223,Store C,1.162,0.9371,20.709,19.0,22.0,0.0,0.0,0.0,0.415,0.415,Product 0223,TK,TK(50)ML,CANDYLAND,Supplier 59
2025-05-01,SKU0226,Warehouse,1.162,0.9371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0226,TK,TK(20)G,CANDYLAND,Supplier 17
2025-05-01,SKU0229,Store A,2.324,1.8742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0229,TK,TK(216)G,CANDYLAND,Supplier 59
2025-05-01,SKU0233,Store A,1.245,1.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0233,TK,TK(200)G,CANDYLAND,Supplier 59
2025-05-01,SKU0235,Store C,1.328,1.0709,4.451,0.0,12.0,0.0,0.0,0.0,0.6127,0.6127,Product 0235,TK,TK(120)G,CANDYLAND,Supplier 59
2025-05-01,SKU0237,Store B,1.245,1.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0237,TK,TK(200)G,CANDYLAND,Supplier 59
2025-05-01,SKU0240,Store A,1.162,0.9371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0240,TK,TK(32)G,CANDYLAND,Supplier 59
2025-05-01,SKU0241,Store B,1.245,1.0041,5.967,5.0,6.0,0.0,0.0,0.0,0.5894,0.5894,Product 0241,TK,TK(200)G,CANDYLAND,Supplier 59
2025-05-01,SKU0247,Store B,1.577,1.2718,30.419,18.0,43.0,10.0,15.77,6.7902,0.7719,0.7719,Product 0247,TK,TK(46)G,CANDYLAND,Multiple suppliers
2025-05-01,SKU0253,Store A,1.66,1.3387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0253,TK,TK(114)G,CANDYLAND,Supplier 59
2025-05-01,SKU0253,Store C,1.66,1.3387,0.225,0.0,2.0,0.0,0.0,0.0,0.5412,0.5412,Product 0253,TK,TK(114)G,CANDYLAND,Supplier 59
2025-05-01,SKU0259,Store A,1.328,1.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0259,TK,TK(80)G,CANDYLAND,Supplier 59
2025-05-01,SKU0265,Store C,1.245,1.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0265,TK,TK(160)G,CANDYLAND,Supplier 59
2025-05-01,SKU0270,Store C,2.905,2.3428,3.064,0.0,8.0,0.0,0.0,0.0,1.339,1.339,Product 0270,TK,TK(120)G,CANDYLAND,Supplier 59
2025-05-01,SKU0274,Warehouse,0.8715,0.7028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0274,TK,TK(80)G,CANDYLAND,Supplier 59
2025-05-01,SKU0281,Store A,1.328,1.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0281,TK,TK(114)G,CANDYLAND,Supplier 59
2025-05-01,SKU0291,Warehouse,2.075,1.6734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0291,TK,TK(50)G,CANDYLAND,Supplier 66
2025-05-01,SKU0300,Store B,5.81,4.6855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0300,TK,TK(149)G,CANDYLAND,Supplier 59
2025-05-01,SKU0303,Store B,1.494,1.2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0303,TK,TK(70)G,CANDYLAND,Supplier 59
2025-05-01,SKU0311,Store B,1.162,0.9371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0311,TK,TK(70)ML,CANDYLAND,Supplier 59
2025-05-01,SKU0319,Store A,1.411,1.1379,10.0,10.0,10.0,0.0,0.0,0.0,0.6374,0.6374,Product 0319,TK,TK(150)G,CANDYLAND,Supplier 33
2025-05-01,SKU0322,Warehouse,1.411,1.1379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0322,TK,TK(125)G,CANDYLAND,Supplier 33
2025-05-01,SKU0323,Store C,1.411,1.1379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0323,TK,TK(150)G,CANDYLAND,Supplier 33
2025-05-01,SKU0334,Store C,1.245,1.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0334,TK,TK(200)G,CANDYLAND,Supplier 59
2025-05-01,SKU0335,Store B,1.245,1.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0335,TK,TK(200)G,CANDYLAND,Supplier 59
2025-05-01,SKU0341,Store C,1.411,1.1379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0341,TK,TK(114)G,CANDYLAND,Supplier 59
2025-05-01,SKU0342,Warehouse,2.49,2.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0342,TK,TK(141)G,CANDYLAND,Supplier 59
2025-05-01,SKU0345,Warehouse,0.996,0.8032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0345,TK,TK(30)G,CANDYLAND,Supplier 59
2025-05-01,SKU0350,Store B,1.328,1.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0350,TK,TK(50)G,CANDYLAND,Supplier 59
2025-05-01,SKU0351,Store C,1.245,1.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0351,TK,TK(160)G,CANDYLAND,Supplier 59
2025-05-01,SKU0359,Store B,2.49,2.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0359,TK,TK(350)ML,CANDYLAND,Supplier 59
2025-05-01,SKU0364,Store A,1.245,1.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0364,TK,TK(160)G,CANDYLAND,Supplier 59
2025-05-01,SKU0376,Store B,2.3987,1.9344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0376,TK,TK(102)G,CANDYLAND,Multiple suppliers
2025-05-01,SKU0380,Store C,2.905,2.3428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0380,TK,TK(195)G,CANDYLAND,Supplier 59
2025-05-01,SKU0380,Warehouse,2.905,2.3428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0380,TK,TK(195)G,CANDYLAND,Supplier 59
2025-05-01,SKU0393,Warehouse,0.415,0.3347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0393,TK,TK(40)G,CANDYLAND,Supplier 59
2025-05-01,SKU0394,Warehouse,0.415,0.3347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0394,TK,TK(35)G,CANDYLAND,Supplier 59
2025-05-01,SKU0397,Warehouse,0.415,0.3347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0397,TK,TK(40)G,CANDYLAND,Supplier 59
2025-05-01,SKU0409,Store A,1.245,1.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0409,TK,TK(160)G,CANDYLAND,Supplier 59
2025-05-01,SKU0417,Store A,2.49,2.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0417,TK,TK(132)G,CANDYLAND,Multiple suppliers
2025-05-01,SKU0423,Store C,0.9545,0.7697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0423,TK,TK(240)ML,CANDYLAND,Supplier 59
2025-05-01,SKU0424,Store A,0.9545,0.7697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0424,TK,TK(240)ML,CANDYLAND,Supplier 59
2025-05-01,SKU0427,Store C,2.49,2.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0427,TK,TK(132)G,CANDYLAND,Multiple suppliers
2025-05-01,SKU0442,Warehouse,2.49,2.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0442,TK,TK(75)G,CANDYLAND,Supplier 59
2025-05-01,SKU0443,Warehouse,2.656,2.1419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0443,TK,TK(100)G,CANDYLAND,Supplier 59
2025-05-01,SKU0449,Store C,1.162,0.9371,4.903,0.0,10.0,0.0,0.0,0.0,0.3245,0.3245,Product 0449,TK,TK(60)ML,CANDYLAND,Multiple suppliers
2025-05-01,SKU0450,Warehouse,1.66,1.3387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0450,TK,TK(115)G,CANDYLAND,Supplier 59
2025-05-01,SKU0461,Store B,1.494,1.2048,3.354,3.0,4.0,0.0,0.0,0.0,0.4649,0.4649,Product 0461,TK,TK(98)G,CANDYLAND,Supplier 59
2025-05-01,SKU0464,Store B,1.328,1.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0464,TK,TK(184)G,CANDYLAND,Supplier 59
2025-05-01,SKU0467,Store C,1.328,1.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0467,TK,TK(150)G,CANDYLAND,Supplier 59
2025-05-01,SKU0476,Store C,1.162,0.9371,11.967,9.0,21.0,0.0,0.0,0.0,0.5135,0.5135,Product 0476,TK,TK(30)G,CANDYLAND,Supplier 59
2025-05-01,SKU0478,Store B,1.162,0.9371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0478,TK,TK(18)G,CANDYLAND,Supplier 59
2025-05-01,SKU0484,Store A,2.905,2.3428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0484,TK,TK(115)G,CANDYLAND,Supplier 59
2025-05-01,SKU0484,Store C,2.905,2.3428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0484,TK,TK(115)G,CANDYLAND,Supplier 59
2025-05-01,SKU0487,Store C,1.245,1.0041,19.774,10.0,34.0,0.0,0.0,0.0,0.498,0.498,Product 0487,TK,TK(40)G,CANDYLAND,Supplier 59
2025-05-01,SKU0489,Warehouse,0.996,0.8032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0489,TK,TK(3)G,CANDYLAND,Supplier 59
2025-05-01,SKU0492,Warehouse,1.494,1.2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0492,TK,TK(20)G,CANDYLAND,Supplier 59
2025-05-01,SKU0498,Store A,1.162,0.9371,31.032,29.0,35.0,0.0,0.0,0.0,0.3547,0.3547,Product 0498,TK,TK(8)G,CANDYLAND,Supplier 59
2025-05-01,SKU0498,Store B,1.162,0.9371,23.709,15.0,29.0,0.0,0.0,0.0,0.2905,0.2905,Product 0498,TK,TK(8)G,CANDYLAND,Supplier 59
2025-05-01,SKU0502,Warehouse,1.66,1.3387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0502,TK,TK(114)G,CANDYLAND,Supplier 59
2025-05-01,SKU0506,Store C,1.577,1.2718,5.096,3.0,7.0,0.0,0.0,0.0,0.7139,0.7139,Product 0506,TK,TK(150)G,CANDYLAND,Supplier 59
2025-05-01,SKU0509,Store C,1.992,1.6065,19.161,1.0,37.0,7.0,13.944,5.326,0.6432,0.6432,Product 0509,TK,TK(140)G,CANDYLAND,Supplier 57
2025-05-01,SKU0514,Warehouse,0.996,0.8032,4.838,0.0,10.0,0.0,0.0,0.0,0.3155,0.3155,Product 0514,TK,TK(80)G,CANDYLAND,Supplier 59
2025-05-01,SKU0516,Warehouse,0.996,0.8032,3.387,0.0,7.0,0.0,0.0,0.0,0.3154,0.3154,Product 0516,TK,TK(80)G,CANDYLAND,Supplier 59
2025-05-01,SKU0520,Store A,1.494,1.2048,10.612,8.0,11.0,0.0,0.0,0.0,0.606,0.606,Product 0520,TK,TK(160)G,CANDYLAND,Supplier 59
2025-05-01,SKU0523,Store C,2.158,1.7403,1.903,0.0,3.0,0.0,0.0,0.0,1.0625,1.0625,Product 0523,TK,TK(105)G,CANDYLAND,Supplier 59
2025-05-01,SKU0530,Store B,0.996,0.8032,12.258,8.0,18.0,0.0,0.0,0.0,0.3735,0.3735,Product 0530,TK,TK(90)G,CANDYLAND,Supplier 59
2025-05-01,SKU0531,Store A,2.49,2.0081,16.161,9.0,24.0,0.0,0.0,0.0,1.1952,1.1952,Product 0531,TK,TK(125)G,CANDYLAND,Supplier 59
2025-05-01,SKU0534,Store B,1.162,0.9371,11.548,11.0,12.0,4.0,4.648,2.2244,0.5561,0.5561,Product 0534,TK,TK(150)G,CANDYLAND,Supplier 59
2025-05-01,SKU0538,Store A,1.328,1.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0538,TK,TK(110)G,CANDYLAND,Supplier 59
2025-05-01,SKU0542,Store A,2.075,1.6734,1.548,0.0,12.0,0.0,0.0,0.0,0.9879,0.9879,Product 0542,TK,TK(150)G,CANDYLAND,Supplier 59
2025-05-01,SKU0543,Store B,1.494,1.2048,4.419,0.0,16.0,0.0,0.0,0.0,0.689,0.689,Product 0543,TK,TK(12)G,CANDYLAND,Supplier 59
2025-05-01,SKU0548,Store A,1.826,1.4726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0548,TK,TK(150)G,CANDYLAND,Supplier 59
2025-05-01,SKU0548,Warehouse,1.826,1.4726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0548,TK,TK(150)G,CANDYLAND,Supplier 59
2025-05-01,SKU0555,Store C,15.687,12.6508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0555,TK,TK(200)G,CANDYLAND,Supplier 29
2025-05-01,SKU0557,Store A,1.992,1.6065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0557,TK,TK(150)G,CANDYLAND,Supplier 26
2025-05-01,SKU0558,Store C,1.992,1.6065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0558,TK,TK(150)G,CANDYLAND,Supplier 26
2025-05-01,SKU0570,Store B,11.5785,9.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0570,TK,TK(105)G,CANDYLAND,Unknown supplier
2025-05-01,SKU0573,Store A,3.2785,2.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0573,TK,TK(43)G,CANDYLAND,Unknown supplier
2025-05-01,SKU0574,Store B,8.217,6.6266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0574,TK,TK(250)G,CANDYLAND,Supplier 54
2025-05-01,SKU0576,Warehouse,0.332,0.2678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0576,TK,TK(25)G,CANDYLAND,Supplier 64
2025-05-01,SKU0578,Store B,0.996,0.8032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0578,TK,TK(40)G,CANDYLAND,Supplier 64
2025-05-01,SKU0580,Store B,2.241,1.8072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0580,TK,TK(280)G,CANDYLAND,Supplier 17
2025-05-01,SKU0584,Store B,1.66,1.3387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0584,TK,"TK(115,5)G",CANDYLAND,Supplier 17
2025-05-01,SKU0590,Warehouse,8.217,6.6266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0590,TK,TK(195)G,CANDYLAND,Supplier 54
2025-05-01,SKU0610,Store A,1.162,0.9371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0610,TK,TK(180)G,CANDYLAND,Supplier 17
2025-05-01,SKU0615,Warehouse,1.162,0.9371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0615,TK,TK(150)G,CANDYLAND,Supplier 17
2025-05-01,SKU0630,Store C,0.83,0.6694,19.193,11.0,35.0,0.0,0.0,0.0,0.3604,0.3604,Product 0630,TK,TK(23)G,CANDYLAND,Supplier 16
2025-05-01,SKU0641,Store B,2.656,2.1419,14.677,4.0,21.0,0.0,0.0,0.0,1.2284,1.2284,Product 0641,TK,TK(94)G,CANDYLAND,Supplier 16
2025-05-01,SKU0649,Store C,2.075,1.6734,1.354,0.0,5.0,0.0,0.0,0.0,0.9966,0.9966,Product 0649,TK,TK(250)ML,CANDYLAND,Supplier 16
2025-05-01,SKU0654,Warehouse,1.826,1.4726,0.0,0.0,0.0,168.0,306.768,64.4213,0.0,0.0,Product 0654,TK,TK(17)G,CANDYLAND,Supplier 02
2025-05-01,SKU0658,Store A,0.83,0.6694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0658,TK,"TK(15,6)G",CANDYLAND,Supplier 16
2025-05-01,SKU0658,Store C,0.83,0.6694,0.0,0.0,0.0,1.0,0.83,0.2716,0.0,0.0,Product 0658,TK,"TK(15,6)G",CANDYLAND,Supplier 16
2025-05-01,SKU0663,Store A,2.075,1.6734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0663,TK,TK(90)G,CANDYLAND,Supplier 16
2025-05-01,SKU0683,Store A,1.66,1.3387,3.838,3.0,6.0,0.0,0.0,0.0,0.5217,0.5217,Product 0683,TK,TK(120)G,CANDYLAND,Supplier 02
2025-05-01,SKU0684,Store C,1.66,1.3387,11.064,7.0,16.0,0.0,0.0,0.0,0.5215,0.5215,Product 0684,TK,TK(120)G,CANDYLAND,Supplier 02
2025-05-01,SKU0685,Store B,9.047,7.2959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0685,TK,TK(1250)G,CANDYLAND,Supplier 32
2025-05-01,SKU0688,Store B,1.494,1.2048,25.645,13.0,43.0,22.0,32.868,7.8883,0.3586,0.3586,Product 0688,TK,TK(120)G,CANDYLAND,Multiple suppliers
2025-05-01,SKU0690,Store A,0.996,0.8032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0690,TK,TK(40)G,CANDYLAND,Supplier 02
2025-05-01,SKU0697,Store C,1.079,0.8702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0697,TK,TK(15)G,CANDYLAND,Supplier 64
2025-05-01,SKU0707,Warehouse,0.415,0.3347,700.967,670.0,718.0,0.0,0.0,0.0,0.1743,0.1743,Product 0707,TK,TK(200)ML,CANDYLAND,Supplier 59
2025-05-01,SKU0708,Store B,0.996,0.8032,14.258,12.0,19.0,0.0,0.0,0.0,0.366,0.366,Product 0708,TK,TK(15)ML,CANDYLAND,Supplier 02
2025-05-01,SKU0713,Store C,1.245,1.0041,17.741,4.0,38.0,0.0,0.0,0.0,0.3071,0.3071,Product 0713,TK,TK(60)ML,CANDYLAND,Supplier 02
2025-05-01,SKU0717,Store A,9.9185,7.9988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0717,TK,TK(200)G,CANDYLAND,Supplier 27
2025-05-01,SKU0726,Store A,2.407,1.9411,0.0,0.0,0.0,7.0,16.849,6.0715,0.0,0.0,Product 0726,TK,TK(150)G,CANDYLAND,Supplier 49
2025-05-01,SKU0739,Warehouse,3.735,3.0121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0739,TK,TK(250)G,CANDYLAND,Supplier 38
