sku,product_name,location,current_qty,unit_cost,supplier,recent_units,recent_revenue,avg_weekly_demand
SKU1231,Product 1231,Store B,49.0,0.0498,Supplier 19,91.0,15.0064,6.9239
SKU1030,Product 1030,Store A,0.0,0.0,Supplier 69,90.0,59.76,6.8478
SKU0518,Product 0518,Store A,39.0,0.2229,Multiple suppliers,88.0,49.9079,6.6957
SKU1106,Product 1106,Store A,96.0,0.0415,Supplier 19,88.0,14.027,6.6957
SKU0260,Product 0260,Store C,8.0,0.7171,Supplier 02,87.0,158.3142,6.6196
SKU0831,Product 0831,Store C,45.0,0.1701,Supplier 70,87.0,38.8938,6.6196
SKU1077,Product 1077,Store A,0.0,0.4757,Supplier 02,87.0,142.262,6.6196
SKU0668,Product 0668,Store B,11.0,1.9124,Supplier 61,84.0,300.4351,6.3913
SKU1424,Product 1424,Store B,111.0,0.0743,Multiple suppliers,84.0,20.5923,6.3913
SKU1647,Product 1647,Store C,19.0,1.0458,Supplier 75,84.0,143.9552,6.3913
SKU0438,Product 0438,Store A,0.0,0.0,Multiple suppliers,83.0,6.889,6.3152
SKU0070,Product 0070,Store C,39.0,0.6225,Supplier 66,82.0,127.8947,6.2391
SKU0801,Product 0801,Store C,46.0,0.6225,Supplier 66,82.0,128.3678,6.2391
SKU1416,Product 1416,Store A,3.0,0.4777,Multiple suppliers,82.0,87.1832,6.2391
SKU1106,Product 1106,Store C,97.0,0.0415,Supplier 19,81.0,13.363,6.163
SKU1216,Product 1216,Store B,13.0,0.4731,Multiple suppliers,80.0,92.1466,6.087
SKU1323,Product 1323,Store C,0.0,0.0,Supplier 03,80.0,111.7512,6.087
SKU1327,Product 1327,Store C,0.0,0.0,Supplier 03,80.0,112.5978,6.087
SKU1365,Product 1365,Store C,3.0,0.1411,Supplier 59,80.0,25.9956,6.087
SKU0803,Product 0803,Store A,0.0,0.2407,Supplier 66,79.0,103.1856,6.0109
SKU0906,Product 0906,Store C,7.0,0.7055,Supplier 69,79.0,178.8152,6.0109
SKU0878,Product 0878,Store B,29.0,0.1992,Supplier 19,78.0,32.0712,5.9348
SKU0980,Product 0980,Store C,0.0,0.3072,Supplier 22,78.0,29.5065,5.9348
SKU1436,Product 1436,Store C,60.0,0.0743,Multiple suppliers,78.0,19.3224,5.9348
SKU0081,Product 0081,Store C,0.0,0.6225,Supplier 66,77.0,71.546,5.8587
SKU0247,Product 0247,Store A,15.0,0.679,Multiple suppliers,77.0,99.6913,5.8587
SKU1416,Product 1416,Store B,6.0,0.4777,Multiple suppliers,77.0,82.1119,5.8587
SKU1685,Product 1685,Store C,0.0,0.996,Supplier 42,77.0,103.418,5.8587
SKU0123,Product 0123,Store C,1.0,0.3652,Supplier 05,76.0,88.1958,5.7826
SKU0831,Product 0831,Store B,115.0,0.1701,Supplier 70,76.0,34.279,5.7826
SKU0441,Product 0441,Store C,2.0,0.0245,Supplier 68,75.0,6.225,5.7065
SKU0658,Product 0658,Store C,1.0,0.2716,Supplier 16,75.0,62.167,5.7065
SKU1230,Product 1230,Store C,57.0,0.0498,Supplier 19,75.0,15.4795,5.7065
SKU1735,Product 1735,Store A,5.0,0.415,Supplier 09,75.0,110.1078,5.7065
SKU0653,Product 0653,Store B,38.0,0.4067,Supplier 02,74.0,118.5074,5.6304
SKU1443,Product 1443,Store C,54.0,0.4482,Supplier 24,74.0,67.4707,5.6304
SKU0858,Product 0858,Store B,0.0,0.3022,Supplier 16,72.0,37.35,5.4783
SKU0157,Product 0157,Store C,25.0,0.3569,Supplier 68,71.0,64.4744,5.4022
SKU0652,Product 0652,Store B,17.0,0.4084,Supplier 02,71.0,84.162,5.4022
SKU1402,Product 1402,Store C,0.0,0.1494,Supplier 24,71.0,33.7312,5.4022
SKU0144,Product 0144,Store B,87.0,0.1231,Supplier 68,70.0,25.3482,5.3261
SKU0878,Product 0878,Store C,24.0,0.1992,Supplier 19,70.0,31.2744,5.3261
SKU1327,Product 1327,Store B,0.0,0.0,Supplier 03,70.0,97.7823,5.3261
SKU1789,Product 1789,Store C,-1.0,1.328,Supplier 42,70.0,90.221,5.3261
SKU0858,Product 0858,Store C,7.0,0.3021,Supplier 16,69.0,33.034,5.25
SKU0878,Product 0878,Store A,22.0,0.1992,Supplier 19,69.0,29.1413,5.25
SKU0882,Product 0882,Store C,131.0,0.0784,Supplier 69,69.0,15.4131,5.25
SKU1283,Product 1283,Store C,11.0,0.2988,Supplier 24,69.0,45.816,5.25
SKU1328,Product 1328,Store B,0.0,0.0,Supplier 03,69.0,96.2302,5.25
SKU0710,Product 0710,Store B,21.0,0.3154,Supplier 02,68.0,61.7188,5.1739
SKU1323,Product 1323,Store A,0.0,0.6228,Supplier 03,68.0,94.8192,5.1739
SKU1328,Product 1328,Store A,0.0,0.6226,Supplier 03,68.0,93.5493,5.1739
SKU0880,Product 0880,Store B,0.0,0.0208,Supplier 69,67.2,5.4033,5.113
SKU1501,Product 1501,Store B,18.0,0.4897,Multiple suppliers,67.0,82.17,5.0978
SKU1735,Product 1735,Store B,33.0,0.415,Supplier 09,67.0,99.0522,5.0978
SKU1787,Product 1787,Store A,0.0,1.2367,Supplier 42,67.0,185.339,5.0978
SKU0061,Product 0061,Store C,0.0,0.3405,Supplier 68,66.0,49.0032,5.0217
SKU1501,Product 1501,Store A,35.0,0.4897,Multiple suppliers,66.0,80.925,5.0217
SKU0146,Product 0146,Store C,33.0,0.3403,Supplier 68,65.0,58.9798,4.9457
SKU0232,Product 0232,Store B,83.0,0.1328,Supplier 02,65.0,42.9608,4.9457
SKU1013,Product 1013,Store C,28.0,0.4648,Supplier 03,65.0,66.8814,4.9457
SKU1216,Product 1216,Store C,1.0,0.3619,Multiple suppliers,65.0,75.1814,4.9457
SKU1687,Product 1687,Store A,0.0,0.0,Supplier 42,65.0,32.37,4.9457
SKU0145,Product 0145,Store B,77.0,0.1231,Supplier 68,64.0,22.6175,4.8696
SKU0209,Product 0209,Store C,0.0,0.5148,Supplier 59,64.0,35.358,4.8696
SKU0635,Product 0635,Store C,0.0,0.7139,Supplier 02,64.0,126.2928,4.8696
SKU1051,Product 1051,Store C,0.0,0.0,Supplier 05,64.0,84.8592,4.8696
SKU0802,Product 0802,Store C,44.0,0.6225,Supplier 66,62.0,97.3009,4.7174
SKU1788,Product 1788,Store C,1.0,1.328,Supplier 42,62.0,76.1525,4.7174
SKU0981,Product 0981,Store C,17.0,0.2905,Supplier 22,61.0,40.3712,4.6413
SKU1687,Product 1687,Store B,0.0,0.0,Supplier 42,61.0,30.378,4.6413
SKU0123,Product 0123,Store B,0.0,0.0,Supplier 05,60.0,68.2094,4.5652
SKU0509,Product 0509,Store C,7.0,0.7609,Supplier 57,60.0,119.1216,4.5652
SKU0711,Product 0711,Store B,1.0,0.2906,Supplier 02,60.0,44.5959,4.5652
SKU0880,Product 0880,Store C,1142.0,0.0198,Supplier 69,60.0,4.9883,4.5652
SKU1034,Product 1034,Store C,4.0,0.2656,Supplier 19,60.0,32.37,4.5652
SKU1232,Product 1232,Store C,0.0,0.1328,Supplier 19,60.0,19.92,4.5652
SKU1324,Product 1324,Store C,0.0,0.0,Supplier 03,60.0,82.9668,4.5652
SKU1398,Product 1398,Store B,98.0,0.0743,Multiple suppliers,60.0,14.6661,4.5652
SKU1436,Product 1436,Store B,33.0,0.0743,Multiple suppliers,59.0,14.3424,4.4891
SKU0463,Product 0463,Store C,32.0,0.1577,Supplier 02,58.0,28.4358,4.413
SKU0653,Product 0653,Store C,29.0,0.4067,Supplier 02,58.0,104.995,4.413
SKU1013,Product 1013,Store B,28.0,0.4648,Supplier 03,58.0,59.6936,4.413
SKU1079,Product 1079,Store C,33.0,0.3776,Supplier 02,58.0,91.466,4.413
SKU1606,Product 1606,Store C,17.0,0.6641,Supplier 07,58.0,81.5558,4.413
SKU0709,Product 0709,Store B,0.0,0.2,Supplier 02,57.0,46.978,4.337
SKU0711,Product 0711,Store C,0.0,0.2905,Supplier 02,57.0,42.5043,4.337
SKU0152,Product 0152,Store B,90.0,0.1231,Supplier 68,56.0,19.3971,4.2609
SKU1034,Product 1034,Store B,13.0,0.2656,Supplier 19,56.0,30.1041,4.2609
SKU1090,Product 1090,Store B,59.0,1.0375,Supplier 67,56.0,130.9408,4.2609
SKU1216,Product 1216,Store A,1.0,0.4537,Multiple suppliers,56.0,63.91,4.2609
SKU0678,Product 0678,Store C,8.0,0.4117,Supplier 02,55.0,100.43,4.1848
SKU1079,Product 1079,Store B,41.0,0.3776,Supplier 02,55.0,78.85,4.1848
SKU0474,Product 0474,Store C,52.0,0.1826,Supplier 59,54.0,22.327,4.1087
SKU0666,Product 0666,Store C,2.0,1.9123,Supplier 61,54.0,209.9817,4.1087
SKU0831,Product 0831,Store A,100.0,0.1701,Supplier 70,54.0,25.4644,4.1087
SKU1051,Product 1051,Store B,0.0,0.0,Supplier 05,54.0,71.1808,4.1087
SKU1096,Product 1096,Store C,10.0,0.415,Supplier 09,54.0,79.3314,4.1087
SKU1513,Product 1513,Store C,3.0,0.3818,Supplier 24,54.0,43.575,4.1087
SKU1743,Product 1743,Store A,0.0,0.083,Supplier 43,54.0,4.482,4.1087
SKU1606,Product 1606,Store A,20.0,0.6641,Supplier 07,53.0,73.2309,4.0326
SKU0248,Product 0248,Store B,27.0,0.679,Multiple suppliers,52.0,79.9539,3.9565
SKU0702,Product 0702,Store B,12.0,0.3503,Supplier 02,52.0,60.1916,3.9565
SKU1685,Product 1685,Store B,0.0,0.9961,Supplier 42,52.0,68.89,3.9565
SKU1787,Product 1787,Store B,0.0,1.2367,Supplier 42,52.0,149.6075,3.9565
SKU0100,Product 0100,Store C,0.0,0.0744,Supplier 68,51.0,5.727,3.8804
SKU0144,Product 0144,Store A,45.0,0.1231,Supplier 68,51.0,18.7663,3.8804
SKU0664,Product 0664,Store A,0.0,1.9124,Supplier 61,51.0,175.7774,3.8804
SKU1088,Product 1088,Store C,1.0,0.3654,Supplier 51,51.0,26.726,3.8804
SKU1615,Product 1615,Store C,19.0,0.664,Supplier 07,51.0,71.1144,3.8804
SKU1685,Product 1685,Store A,0.0,0.996,Supplier 42,51.0,75.945,3.8804
SKU0984,Product 0984,Store C,2.0,0.913,Supplier 46,50.0,102.7125,3.8043
SKU1106,Product 1106,Store B,150.0,0.0415,Supplier 19,50.0,8.2668,3.8043
SKU1325,Product 1325,Store B,0.0,0.0,Supplier 03,50.0,69.5623,3.8043
SKU1325,Product 1325,Store C,0.0,0.0,Supplier 03,50.0,69.4212,3.8043
SKU1326,Product 1326,Store C,0.0,0.0,Supplier 03,50.0,70.1267,3.8043
SKU1615,Product 1615,Store A,13.0,0.664,Supplier 07,50.0,69.7034,3.8043
SKU1663,Product 1663,Store C,0.0,1.0259,Supplier 29,50.0,48.97,3.8043
SKU1788,Product 1788,Store B,20.0,1.328,Supplier 42,50.0,66.1925,3.8043
SKU0081,Product 0081,Store A,0.0,0.6226,Supplier 66,49.0,26.145,3.7283
SKU0119,Product 0119,Store C,12.0,0.4897,Supplier 05,49.0,73.206,3.7283
SKU0582,Product 0582,Store C,7.0,0.0913,Supplier 64,49.0,17.596,3.7283
SKU0652,Product 0652,Store A,10.0,0.4084,Supplier 02,49.0,59.8845,3.7283
SKU0863,Product 0863,Store B,0.0,0.0,Supplier 69,49.0,28.7595,3.7283
SKU0874,Product 0874,Store A,1.0,0.1245,Supplier 19,49.0,15.438,3.7283
SKU1324,Product 1324,Store B,0.0,0.0,Supplier 03,49.0,68.5746,3.7283
SKU1326,Product 1326,Store B,0.0,0.6225,Supplier 03,49.0,68.0102,3.7283
SKU1513,Product 1513,Store B,6.0,0.3818,Supplier 24,49.0,38.5867,3.7283
SKU1613,Product 1613,Store C,0.0,0.6691,Supplier 07,49.0,47.2934,3.7283
SKU1686,Product 1686,Store A,40.0,0.4897,Supplier 42,49.0,56.938,3.7283
SKU0153,Product 0153,Store B,0.0,0.1826,Multiple suppliers,48.0,17.1644,3.6522
SKU0664,Product 0664,Store C,0.0,0.0,Supplier 61,48.0,163.925,3.6522
SKU0682,Product 0682,Store B,36.0,0.3154,Supplier 66,48.0,27.39,3.6522
SKU0709,Product 0709,Store A,0.0,0.2,Supplier 02,48.0,38.927,3.6522
SKU0880,Product 0880,Store A,0.0,0.0,Supplier 69,48.0,4.3326,3.6522
SKU0882,Product 0882,Store A,229.0,0.0784,Supplier 69,48.0,10.9809,3.6522
SKU0888,Product 0888,Store C,58.0,0.0988,Supplier 02,48.0,11.3793,3.6522
SKU1098,Product 1098,Store C,0.0,0.6558,Supplier 09,48.0,63.3456,3.6522
SKU1229,Product 1229,Store B,89.0,0.0498,Supplier 19,48.0,9.9351,3.6522
SKU1326,Product 1326,Store A,0.0,0.0,Supplier 03,48.0,67.4458,3.6522
SKU1384,Product 1384,Store B,13.0,0.4897,Multiple suppliers,48.0,46.9116,3.6522
SKU1729,Product 1729,Store C,0.0,1.1954,Supplier 09,48.0,157.036,3.6522
SKU0007,Product 0007,Store C,1.0,0.2093,Supplier 64,47.0,26.9584,3.5761
SKU0094,Product 0094,Store C,8.0,0.3735,Supplier 68,47.0,42.3632,3.5761
SKU0124,Product 0124,Store C,27.0,0.507,Supplier 05,47.0,85.822,3.5761
SKU0148,Product 0148,Store C,27.0,0.3569,Supplier 68,47.0,42.8197,3.5761
SKU0519,Product 0519,Store B,85.0,0.0796,Multiple suppliers,47.0,15.4048,3.5761
SKU0640,Product 0640,Store C,20.0,0.6201,Supplier 02,47.0,77.854,3.5761
SKU1230,Product 1230,Store B,93.0,0.0498,Supplier 19,47.0,9.6197,3.5761
SKU1325,Product 1325,Store A,0.0,0.0,Supplier 03,47.0,64.7649,3.5761
SKU1327,Product 1327,Store A,0.0,0.0,Supplier 03,47.0,65.7526,3.5761
SKU0803,Product 0803,Store C,0.0,0.0,Supplier 66,46.0,60.5568,3.5
SKU0852,Product 0852,Store C,0.0,0.2739,Supplier 43,46.0,20.5342,3.5
SKU0879,Product 0879,Store A,80.0,0.0311,Supplier 69,46.0,5.6025,3.5
SKU1013,Product 1013,Store A,28.0,0.4648,Supplier 03,46.0,42.6454,3.5
SKU1231,Product 1231,Store A,98.0,0.0498,Supplier 19,46.0,7.553,3.5
SKU0152,Product 0152,Store A,45.0,0.1231,Supplier 68,45.0,16.4589,3.4239
SKU0247,Product 0247,Store B,10.0,0.679,Multiple suppliers,45.0,69.8611,3.4239
SKU0248,Product 0248,Store A,5.0,0.679,Multiple suppliers,45.0,69.7034,3.4239
SKU1370,Product 1370,Store C,3.0,0.4067,Supplier 24,45.0,36.852,3.4239
SKU1615,Product 1615,Store B,6.0,0.664,Supplier 07,45.0,62.3662,3.4239
SKU1730,Product 1730,Store B,11.0,1.0707,Supplier 09,45.0,125.164,3.4239
SKU0064,Product 0064,Store C,1.0,0.3735,Supplier 68,44.0,40.006,3.3478
SKU0564,Product 0564,Store C,0.0,0.4897,Supplier 02,44.0,71.712,3.3478
SKU0582,Product 0582,Store A,0.0,0.0913,Supplier 64,44.0,15.8115,3.3478
SKU1000,Product 1000,Store C,0.0,0.2491,Supplier 22,44.0,29.1496,3.3478
SKU1084,Product 1084,Store A,7.0,0.3196,Supplier 02,44.0,53.535,3.3478
SKU1402,Product 1402,Store A,0.0,0.1494,Supplier 24,44.0,21.4472,3.3478
SKU1611,Product 1611,Store C,6.0,0.664,Supplier 07,44.0,60.2414,3.3478
SKU1788,Product 1788,Store A,0.0,1.328,Supplier 42,44.0,51.46,3.3478
SKU0087,Product 0087,Store C,0.0,0.3735,Supplier 68,43.0,39.259,3.2717
SKU0145,Product 0145,Store A,73.0,0.1231,Supplier 68,43.0,15.7783,3.2717
SKU0710,Product 0710,Store C,32.0,0.3154,Supplier 02,43.0,39.1677,3.2717
SKU0892,Product 0892,Store B,0.0,0.3959,Supplier 02,43.0,56.1744,3.2717
SKU1298,Product 1298,Store C,27.0,0.9545,Supplier 06,43.0,135.3066,3.2717
SKU1300,Product 1300,Store C,4.0,0.5395,Supplier 17,43.0,49.8498,3.2717
SKU1501,Product 1501,Store C,29.0,0.4897,Multiple suppliers,43.0,52.539,3.2717
SKU0916,Product 0916,Store A,8.497,3.0272,Supplier 69,42.947,3.6022,3.2677
SKU0228,Product 0228,Store A,222.0,0.0602,Multiple suppliers,42.0,11.2963,3.1957
SKU0232,Product 0232,Store A,99.0,0.1328,Supplier 02,42.0,27.4896,3.1957
SKU0474,Product 0474,Store B,33.0,0.1826,Supplier 59,42.0,17.264,3.1957
SKU0668,Product 0668,Store A,17.0,1.9123,Supplier 61,42.0,145.4077,3.1957
SKU0679,Product 0679,Store C,18.0,0.498,Supplier 02,42.0,52.1655,3.1957
SKU0682,Product 0682,Store C,22.0,0.3154,Supplier 66,42.0,20.833,3.1957
SKU0899,Product 0899,Store C,22.0,0.1577,Supplier 02,42.0,20.5674,3.1957
SKU1034,Product 1034,Store A,8.0,0.2656,Supplier 19,42.0,21.8622,3.1957
SKU1051,Product 1051,Store A,-2.0,0.4401,Supplier 05,42.0,54.9792,3.1957
SKU1322,Product 1322,Store C,0.0,0.0,Supplier 03,42.0,58.8387,3.1957
SKU1559,Product 1559,Store B,16.0,0.3818,Supplier 24,42.0,32.7186,3.1957
SKU0147,Product 0147,Store C,24.0,0.3403,Supplier 68,41.0,36.2129,3.1196
SKU0155,Product 0155,Store C,27.0,0.332,Supplier 66,41.0,48.638,3.1196
SKU0659,Product 0659,Store A,5.0,0.2716,Supplier 16,41.0,33.034,3.1196
SKU1098,Product 1098,Store B,0.0,0.0,Supplier 09,41.0,53.2528,3.1196
SKU1229,Product 1229,Store A,109.0,0.0498,Supplier 19,41.0,8.2419,3.1196
SKU1789,Product 1789,Store A,0.0,1.328,Supplier 42,41.0,53.867,3.1196
SKU0152,Product 0152,Store C,33.0,0.1231,Supplier 68,40.0,14.8985,3.0435
SKU1197,Product 1197,Store C,0.0,0.9469,Supplier 43,40.0,79.68,3.0435
SKU1321,Product 1321,Store C,0.0,0.0,Supplier 03,40.0,56.2989,3.0435
SKU1502,Product 1502,Store A,57.0,0.2303,Multiple suppliers,40.0,31.374,3.0435
SKU1701,Product 1701,Store C,0.0,0.4897,Supplier 74,40.0,43.16,3.0435
SKU1766,Product 1766,Store C,0.0,0.7946,Multiple suppliers,40.0,77.024,3.0435
SKU1789,Product 1789,Store B,29.0,1.328,Supplier 42,40.0,48.8455,3.0435
SKU1088,Product 1088,Store B,1.0,0.3652,Supplier 51,39.0,20.418,2.9674
SKU1420,Product 1420,Store C,23.0,0.4482,Supplier 24,39.0,35.2418,2.9674
SKU1609,Product 1609,Store B,12.0,0.6641,Supplier 07,39.0,52.6303,2.9674
SKU1618,Product 1618,Store A,14.0,0.498,Supplier 07,39.0,37.848,2.9674
SKU1618,Product 1618,Store C,12.0,0.4981,Supplier 07,39.0,38.5452,2.9674
SKU1729,Product 1729,Store A,7.0,1.1953,Supplier 09,39.0,127.156,2.9674
SKU0807,Product 0807,Store C,0.0,0.2739,Supplier 66,38.0,50.464,2.8913
SKU0879,Product 0879,Store C,734.0,0.0311,Supplier 69,38.0,4.7476,2.8913
SKU0891,Product 0891,Store C,16.0,0.3644,Supplier 02,38.0,44.156,2.8913
SKU1324,Product 1324,Store A,0.0,0.6226,Supplier 03,38.0,51.7837,2.8913
SKU1502,Product 1502,Store B,57.0,0.2304,Multiple suppliers,38.0,30.793,2.8913
SKU1607,Product 1607,Store C,0.0,0.6641,Supplier 07,38.0,41.7573,2.8913
